,工作标题,薪资,城市,地区,年限,学历,职限,职位详情,具体地点,公司名字,公司情况,职位标签,公司标签
91,营销策划（创意文案）,15k-30k,厦门,思明区,5-10年,本科,全职,"岗位职责：1、根据公司经营战略，独立完成有高度传播性的整体策划方案、文案撰写及执行细案；2、对品牌曝光和转化目标负责，根据目标制定有效的线上线下曝光方案、内容营销方案、渠道推广方案、留存活动方案等；3、负责品牌自媒体矩阵运营，包括公司官网、公众号、百度品专、APP分享等自媒体平台；4、通过自媒体矩阵运营，通过活动策划创建及维护品牌私域流量；5、利用互联网平台进行宣传、推广、营销，通过策划品牌相关的内容和线上活动，达到相应营销目的；6、对互联网有深刻的理解，基于用户画像、行为偏好、市场环境、数据分析等多种因素进行营销规划。任职要求：
",厦门-思明区-观音山汇金国际中心7A层,睿云联,"人工智能,工具,物联网 / 不需要融资 / 150-500人","['智能硬件', '物联网', '销售经理', '大客户代表', '商务专员']",“前景好，成长快，氛围好”
92,跨境电商供应链主管,12k-19k,厦门,集美区,3-5年,大专,全职,"岗位JD： 
1、供应链内部人员的管理和事务的处理； 
2、跨部门的工作协调与沟通，确保工作计划的顺利达成； 
3、优化供应链管理（开发、维护、跟踪及评估体系），对采购成本进行分析判断和控制； 
4、对供应链环节进行监督、控制和协调，保证生产进度； 
5、熟悉面料、箱包款式版型及工艺，面料纱线及染色工艺，在箱包行业方面有一定的工作经验； 
6、及时完成临时交办的工作。 

任职资格： 
1、大专及以上学历； 
2、至少3年以上电商行业供应链管理经验，擅长供应商考核与谈判； 
3、协调和沟通能力强，有一定的数据分析能力，能根据各种数据的变化监控和分析电商供应链； 
4、有跨境电商行业供应链经验或包袋纺织品贸易公司/箱包纺织品工厂资源优先考虑。 

ps：**期间视频面试。",厦门-集美区-百通科技,厦门青柠檬信息科技有限公司,教育 / 不需要融资 / 15-50人,"['在线教育', '工具类产品', 'TO C', '基础业务产品']",“老板认知高 优秀产品可给期权”
93,法务专员,15k-20k,厦门,集美区,3-5年,本科,全职,"职位描述： 
1、侵权事件处理：跟进处理侵权事件，分析、统计侵权信息，总结应对策略并进行法律法规的知识库管理； 
2、专项法律服务：为公司运营中心提供专项法律服务，包括运营相关的重要合同审核和跟踪等，了解运营推广的年度计划并据此安排法务工作； 
3、合同管理：审核、草拟合同（中、英文），并能够提出合规管理优化建议，定期进行合同履行情况跟踪并形成跟踪报告，制订合同范本、总结不同类型合同的审核要点，定期进行合同数据分析； 
4、投融资事务：对目标公司进行尽职调查并形成尽调报告，对目标公司当地的投资政策进行调研，制作投资法律文件（包括但不限于投资意向书、投资协议等）； 
5、法务咨询：开展与业务相关的法律知识培训，向业务部门提供日常法务咨询； 
6、处理其他相关法律事务或部门主管交办的其他事务。 
任职要求： 
1、本科及以上学历（研究生优先），法律相关专业毕业，3年以上互联网公司法务经验（游戏行业优先）； 
2、通过CET-6，通过国家司法考试，熟练掌握有关互联网相关法律知识、合同法、公司法、商标法、著作权法等法律知识； 
3、熟悉公司法律事务，具备独立处理事务的能力，较强的沟通能力、执行能力、抗压能力、逻辑思维和学习能力； 
4、做事沉稳、细致严谨；积极主动、有责任心；良好的团队合作意识",厦门-思明区-思明区- 望海路4号,厦门青柠檬信息科技有限公司,教育 / 不需要融资 / 15-50人,"['在线教育', 'TO C']",“老板认知高 快速发展期 培训体系”
94,,,,,,,,,,,,,
95,电商运营助理（淘宝、天猫、京东、拼多多）,4k-8k,厦门,侨英,不限,大专,全职,"【工作时间】9:00-12:00,14:00-18:20 7.5小时/天 
【岗位职责】 
1、负责店铺的日常后台运营，如宝贝上下架，宝贝更新和订单操作等； 
2、负责店铺各类促销活动以及平台官方各类活动的策划； 
3、负责店铺数据统计汇总，分析店铺运营数据； 
4、辅助店长制定店铺的推广方案； 
5、完成上级交代的其他事宜。 
【任职要求】 
1、20-35周岁，大专以上学历，电商相关专业优先； 
2、熟悉掌握电商运营相关知识，了解电商平台后台； 
3、有较强的数据分析能力，具备较强的执行力； 
4、性格开朗乐观、工作热情，抗压力强。 
【公司福利】 
1、社会保障：入职即缴纳五险、满足厦门政策可办理落户； 
2、假期福利：婚假、产假、陪产假、法定节假日、入职周年员工享有带薪年假7天； 
3、餐费补助：10元/顿标准餐，公司补贴300元/人/月到食堂，员工享受5元/顿用餐； 
4、团建福利：公司发放50元/月下午茶福利，享受600元/年旅游福利，享受年终国际旅游福利； 
5、文化活动：年度旅游、公益活动、户外拓展、中秋博饼、尾牙宴、周年庆、趣味运动会； 
6、晋升调薪：每年有两次晋升和多次调薪机会； 
【培训与发展】 
1、学习培训：“海尼商学院”内部培训，每年有公派学习的机会。 
2、晋升发展：试用助理---转正专员---储备店长---资深店长",厦门-集美区-国闽商厦海尼总部5楼,海尼集团,电商 / 不需要融资 / 500-2000人,"['电商平台', 'TO C', '内容运营', '产品运营', '数据运营']",“海尼给新员工提供整套运营知识学习的机会。”
96,营销策划（创意文案）,15k-30k,厦门,思明区,5-10年,本科,全职,"岗位职责：1、根据公司经营战略，独立完成有高度传播性的整体策划方案、文案撰写及执行细案；2、对品牌曝光和转化目标负责，根据目标制定有效的线上线下曝光方案、内容营销方案、渠道推广方案、留存活动方案等；3、负责品牌自媒体矩阵运营，包括公司官网、公众号、百度品专、APP分享等自媒体平台；4、通过自媒体矩阵运营，通过活动策划创建及维护品牌私域流量；5、利用互联网平台进行宣传、推广、营销，通过策划品牌相关的内容和线上活动，达到相应营销目的；6、对互联网有深刻的理解，基于用户画像、行为偏好、市场环境、数据分析等多种因素进行营销规划。任职要求：
",厦门-思明区-观音山汇金国际中心7A层,家乡互动,"移动互联网,游戏 / 不需要融资 / 150-500人","['年底双薪', '带薪年假', '定期体检', '专项奖金']",“年度多次调薪、年终3-16薪、朝九晚六、弹性上班”
97,跨境电商供应链主管,12k-19k,厦门,集美区,3-5年,大专,全职,"岗位JD： 
1、供应链内部人员的管理和事务的处理； 
2、跨部门的工作协调与沟通，确保工作计划的顺利达成； 
3、优化供应链管理（开发、维护、跟踪及评估体系），对采购成本进行分析判断和控制； 
4、对供应链环节进行监督、控制和协调，保证生产进度； 
5、熟悉面料、箱包款式版型及工艺，面料纱线及染色工艺，在箱包行业方面有一定的工作经验； 
6、及时完成临时交办的工作。 

任职资格： 
1、大专及以上学历； 
2、至少3年以上电商行业供应链管理经验，擅长供应商考核与谈判； 
3、协调和沟通能力强，有一定的数据分析能力，能根据各种数据的变化监控和分析电商供应链； 
4、有跨境电商行业供应链经验或包袋纺织品贸易公司/箱包纺织品工厂资源优先考虑。 

ps：**期间视频面试。",厦门-集美区-百通科技,厦门分形科技,电商 / 不需要融资 / 15-50人,['电商平台'],“薪资福利： 五险、带薪年假、绩效奖金、住房补贴”
98,法务专员,15k-20k,厦门,思明区,3-5年,本科,全职,"职位描述： 
1、侵权事件处理：跟进处理侵权事件，分析、统计侵权信息，总结应对策略并进行法律法规的知识库管理； 
2、专项法律服务：为公司运营中心提供专项法律服务，包括运营相关的重要合同审核和跟踪等，了解运营推广的年度计划并据此安排法务工作； 
3、合同管理：审核、草拟合同（中、英文），并能够提出合规管理优化建议，定期进行合同履行情况跟踪并形成跟踪报告，制订合同范本、总结不同类型合同的审核要点，定期进行合同数据分析； 
4、投融资事务：对目标公司进行尽职调查并形成尽调报告，对目标公司当地的投资政策进行调研，制作投资法律文件（包括但不限于投资意向书、投资协议等）； 
5、法务咨询：开展与业务相关的法律知识培训，向业务部门提供日常法务咨询； 
6、处理其他相关法律事务或部门主管交办的其他事务。 
任职要求： 
1、本科及以上学历（研究生优先），法律相关专业毕业，3年以上互联网公司法务经验（游戏行业优先）； 
2、通过CET-6，通过国家司法考试，熟练掌握有关互联网相关法律知识、合同法、公司法、商标法、著作权法等法律知识； 
3、熟悉公司法律事务，具备独立处理事务的能力，较强的沟通能力、执行能力、抗压能力、逻辑思维和学习能力； 
4、做事沉稳、细致严谨；积极主动、有责任心；良好的团队合作意识",厦门-思明区-思明区- 望海路4号,新仕佳人力资源,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人",['游戏'],“**一家A股主板上市的游戏公司，发展空间大”
99,电商运营助理（淘宝、天猫、京东、拼多多）,4k-8k,厦门,侨英,不限,大专,全职,"【工作时间】9:00-12:00,14:00-18:20 7.5小时/天 
【岗位职责】 
1、负责店铺的日常后台运营，如宝贝上下架，宝贝更新和订单操作等； 
2、负责店铺各类促销活动以及平台官方各类活动的策划； 
3、负责店铺数据统计汇总，分析店铺运营数据； 
4、辅助店长制定店铺的推广方案； 
5、完成上级交代的其他事宜。 
【任职要求】 
1、20-35周岁，大专以上学历，电商相关专业优先； 
2、熟悉掌握电商运营相关知识，了解电商平台后台； 
3、有较强的数据分析能力，具备较强的执行力； 
4、性格开朗乐观、工作热情，抗压力强。 
【公司福利】 
1、社会保障：入职即缴纳五险、满足厦门政策可办理落户； 
2、假期福利：婚假、产假、陪产假、法定节假日、入职周年员工享有带薪年假7天； 
3、餐费补助：10元/顿标准餐，公司补贴300元/人/月到食堂，员工享受5元/顿用餐； 
4、团建福利：公司发放50元/月下午茶福利，享受600元/年旅游福利，享受年终国际旅游福利； 
5、文化活动：年度旅游、公益活动、户外拓展、中秋博饼、尾牙宴、周年庆、趣味运动会； 
6、晋升调薪：每年有两次晋升和多次调薪机会； 
【培训与发展】 
1、学习培训：“海尼商学院”内部培训，每年有公派学习的机会。 
2、晋升发展：试用助理---转正专员---储备店长---资深店长",厦门-集美区-国闽商厦海尼总部5楼,海尼集团,电商 / 不需要融资 / 500-2000人,"['电商平台', 'TO C', '内容运营', '产品运营', '数据运营']",“海尼给新员工提供整套运营知识学习的机会。”
100,营销策划（创意文案）,15k-30k,厦门,思明区,5-10年,本科,全职,"岗位职责：1、根据公司经营战略，独立完成有高度传播性的整体策划方案、文案撰写及执行细案；2、对品牌曝光和转化目标负责，根据目标制定有效的线上线下曝光方案、内容营销方案、渠道推广方案、留存活动方案等；3、负责品牌自媒体矩阵运营，包括公司官网、公众号、百度品专、APP分享等自媒体平台；4、通过自媒体矩阵运营，通过活动策划创建及维护品牌私域流量；5、利用互联网平台进行宣传、推广、营销，通过策划品牌相关的内容和线上活动，达到相应营销目的；6、对互联网有深刻的理解，基于用户画像、行为偏好、市场环境、数据分析等多种因素进行营销规划。任职要求：
",厦门-思明区-观音山汇金国际中心7A层,家乡互动,"移动互联网,游戏 / 不需要融资 / 150-500人","['年底双薪', '带薪年假', '定期体检', '专项奖金']",“年度多次调薪、年终3-16薪、朝九晚六、弹性上班”
101,跨境电商供应链主管,12k-19k,厦门,集美区,3-5年,大专,全职,"岗位JD： 
1、供应链内部人员的管理和事务的处理； 
2、跨部门的工作协调与沟通，确保工作计划的顺利达成； 
3、优化供应链管理（开发、维护、跟踪及评估体系），对采购成本进行分析判断和控制； 
4、对供应链环节进行监督、控制和协调，保证生产进度； 
5、熟悉面料、箱包款式版型及工艺，面料纱线及染色工艺，在箱包行业方面有一定的工作经验； 
6、及时完成临时交办的工作。 

任职资格： 
1、大专及以上学历； 
2、至少3年以上电商行业供应链管理经验，擅长供应商考核与谈判； 
3、协调和沟通能力强，有一定的数据分析能力，能根据各种数据的变化监控和分析电商供应链； 
4、有跨境电商行业供应链经验或包袋纺织品贸易公司/箱包纺织品工厂资源优先考虑。 

ps：**期间视频面试。",厦门-集美区-百通科技,厦门分形科技,电商 / 不需要融资 / 15-50人,['电商平台'],“薪资福利： 五险、带薪年假、绩效奖金、住房补贴”
102,法务专员,15k-20k,厦门,思明区,3-5年,本科,全职,"职位描述： 
1、侵权事件处理：跟进处理侵权事件，分析、统计侵权信息，总结应对策略并进行法律法规的知识库管理； 
2、专项法律服务：为公司运营中心提供专项法律服务，包括运营相关的重要合同审核和跟踪等，了解运营推广的年度计划并据此安排法务工作； 
3、合同管理：审核、草拟合同（中、英文），并能够提出合规管理优化建议，定期进行合同履行情况跟踪并形成跟踪报告，制订合同范本、总结不同类型合同的审核要点，定期进行合同数据分析； 
4、投融资事务：对目标公司进行尽职调查并形成尽调报告，对目标公司当地的投资政策进行调研，制作投资法律文件（包括但不限于投资意向书、投资协议等）； 
5、法务咨询：开展与业务相关的法律知识培训，向业务部门提供日常法务咨询； 
6、处理其他相关法律事务或部门主管交办的其他事务。 
任职要求： 
1、本科及以上学历（研究生优先），法律相关专业毕业，3年以上互联网公司法务经验（游戏行业优先）； 
2、通过CET-6，通过国家司法考试，熟练掌握有关互联网相关法律知识、合同法、公司法、商标法、著作权法等法律知识； 
3、熟悉公司法律事务，具备独立处理事务的能力，较强的沟通能力、执行能力、抗压能力、逻辑思维和学习能力； 
4、做事沉稳、细致严谨；积极主动、有责任心；良好的团队合作意识",厦门-思明区-思明区- 望海路4号,新仕佳人力资源,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人",['游戏'],“**一家A股主板上市的游戏公司，发展空间大”
