,工作标题,薪资,城市,地区,年限,学历,职限,职位详情,具体地点,公司名字,公司情况,职位标签,公司标签
0,数据分析师,6k-12k,厦门,思明区,1-3年,本科,全职,职位职责：1、负责对日常业务数据的挖掘和分析，形成报告为业务部门决策提供分析方案和行动建议；2、负责数仓建设，编写/调度ETL定时任务；3、建立并持续完善业务数据的统计分析模型，确保其实用性及可衡量性。职位要求：1、本科及以上学历，三年以上数据分析相关从业经验，计算机科学、软件工程、统计学等数据相关专业优先；2、熟练掌握Excel、SQL、Python等；3、具备快速学习和思考能力、优秀的商业分析能力、敏锐的数据洞察力及结构化思维能力；,厦门-思明区-台南路77号汇金国际中心25层,字节跳动,"内容资讯,短视频 / D轮及以上 / 2000人以上","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']","“六险一金,晋升空间大,扁平管理,餐补”"
1,游戏数据分析师,9k-14k,厦门,湖里区,1-3年,本科,全职,"岗位职责：1、负责游戏数据监控，对游戏行为、版本更新及运营活动等进行分析，并产出报告；2、负责新游数据埋点、BI数据接入等工作；3、熟悉广告投放数据监控逻辑，负责广告数据分析；4、负责游戏数据监控和预警，可及时对异常波动点作出反馈。任职要求：
1、计算机、统计学、数学相关专业，2年以上游戏数据相关经验；2、熟练使用Excel、mysql/hive；",厦门-湖里区-厦门市湖里区高林中路535号万科云玺1号楼7层,勇仕,游戏 / 上市公司 / 150-500人,"['数据运营', 'BI']","“奖金,分红,项目好,出国游”"
2,数据分析师,10k-20k,厦门,思明区,1-3年,本科,全职,"岗位职责： 
1、负责使用数据驱动探索性分析技术来创建和评估预测和决策模型，以解决金融行业的各种业务问题。具体内容包括：设计，开发和部署各种统计和决策模型； 
2、积极支持团队负责人对项目分析部分的管理，包括：项目计划，工作流，以及项目具体工作内容，确保客户的各种业务目标被纳入到分析计划中； 
3、必要时与客户积极沟通分析结果，并负责将收集到的客户关注点反馈给团队领导进行解决； 
4、参与对未知领域的探索和研究，对解决方法不断做出创新，并将这些方法应用于产品或工具的改善中。 

任职要求： 
1、本科及以上，硕士优先 
2、数学，统计学，运筹学，金融，经济等相关专业； 
3、有数据分析和建模经验工作经验优先，掌握Python或SAS等工具技能；可接受优秀应届毕业生； 
4、熟悉常用的分析软件，例如：Python、SAS、R等； 
5、性格活泼开朗，善于并勇于沟通，表达能力强。",厦门-思明区-厦门思明区财经大厦(石亭路),中科聚信,数据服务｜咨询 / B轮 / 50-150人,"['科技金融', '金融业', 'Python', 'SQL', '回归算法']",“发展前景好，培训机会多，团队nice，薪酬完善”
3,数据分析类应用系统开发工程师(J10874),12k-20k,厦门,思明区,3-5年,本科,全职,"工作职责: 
1、负责系统的编码开发、测试优化、运行维护、文档编写等工作； 
2、根据不同业务场景，应用数据挖掘、多维数据分析等方法，完成数据分析成果交付工作； 
3、完成上级安排的其他系统开发任务。 
任职资格: 
1、本科及以上学历，2年以上相关工作经验，计算机相关专业； 
2、熟悉JAVA语言，了解各种开源的软件如Spring、Struts、hibernate/ibatis等； 
3、熟悉SQL语言，了解Oracle、GP等主流数据库技术； 
4、有良好的责任感和积极主动性，良好的沟通能力和团队协作能力； 
5、了解python、shell、Linux常用命令等至少一种者优先； 
6、具有数据服务性能调优的相关工作经验者优先。",厦门-思明区-软件园二期观日路38号,建信金科,科技金融 / 不需要融资 / 2000人以上,"['科技金融', 'JAVA', 'Python']",“平台好、团队实力强”
4,数据分析师,10k-15k,厦门,湖里区,3-5年,本科,全职,"岗位职责 
1、负责业务数据指标的梳理，搭建数据看板，监控日常业务数据，评估业务健康度； 
2、完善产品内数据埋点，完善行为流数据，配合开发优化数据抛送策略； 
3、根据业务需求做专题分析报告，定位问题，挖掘机会点，辅助决策，推进产品和运营优化； 
4、负责产品漏斗、用户标签体系及各类用户运营模型的搭建和优化； 
5、参与产品及业务AB测试的设计和结果评估，确保AB测试结果的准确性。 

任职要求： 
1、3年以上数据分析经验，有工具类产品经验者优先； 
2、熟练掌握SQL，python等数据分析工具，逻辑清晰严谨，能够独立分析和解决问题； 
3、具备优秀的沟通能力，良好的现场表达能力，能够独立负责和推进项目。",厦门-湖里区-飞鱼大厦B栋5楼,爱尔卓科技,"工具类产品,软件服务｜咨询,物联网 / 未融资 / 50-150人","['工具类产品', 'Python', '互联网', '产品漏斗', '运营优化']",“团队协作”
5,数据分析岗(J10833),15k-25k,厦门,思明区,3-5年,本科,全职,"工作职责: 
1、负责构建系统相应的数据体系与数据模型； 
2、根据不同业务场景，应用数据挖掘、机器学习等方法，开展多领域的数据分析和建模工作，构建业务模型； 
3、建立并完善模型效果评估体系。 
任职资格: 
1、年龄35周岁以下；本科及以上学历，统计学、金融学、计量经济学、数学、计算机等相关专业； 
2、有扎实的计算机基础理论，至少熟练使用Java、Shell、C、C++等其中一门编程语言；熟练使用SAS、Python等分析工具，熟悉MySQL、GP等主流数据库技术； 
3、熟悉常用的大数据架构和技术框架。熟悉Lambda、Kappa等基本的大数据架构，熟悉Spark、Hadoop、Kafka、Flink、Storm等基本的大数据技术； 
4、有大数据相关项目开发经验优先； 
5、有良好的数据意识。对数据敏感，能根据业务需要进行一定的数据分析； 
6、有良好的责任感和积极主动性，良好的沟通能力以及较强的技术热情。 
7、与第三方公司签订劳动合同。",厦门-思明区-软件园二期观日路38号,建信金科,科技金融 / 不需要融资 / 2000人以上,"['科技金融', 'JAVA', 'C++']",“平台好，薪资福利好，发展前景好”
6,游戏数据分析组长,20k-40k,厦门,集美区,5-10年,本科,全职,"岗位职责： 

 1、制定团队OKR，对关键行动进行追踪，保证部门目标实现； 

 2、负责优化团队流程（埋点、数据清洗、建模、分析、可视化等），提升团队效率及数据应用成熟度； 

 3、为公司不同品类、不同生命周期产品定制数据分析方案，通过分析及挖掘数据协助研发、发行、运营改善优化产品； 

 4、搭建BI可视化报表，包括：实时日报、日/周/月报、监控类报表、系统/玩法分析类报表等； 

 5、针对项目进行专项数据分析，包括并不限于：用户研究、游戏生态、版本效果等； 

 6、制定数据监控和预警方案，对异常波动点可以立即反馈与定位问题； 

 7、对数据进行挖掘与预测，支持策略调整、目标制定，支持玩家行为预测、流失预测、用户画像建立等。 



岗位要求： 

 1、计算机、统计学、数学相关专业，本科及以上学历，3年以上游戏数据相关工作经验； 

 2、具备团队管理经验，有高度的工作责任心，重视团队合作，具有良好的项目推动、沟通协调能力； 

 3、掌握主要数据分析方法，熟练使用数据分析工具（SQL、Excel、Python等），对数据敏感，定量分析能力强； 

 4、有良好的业务理解能力、逻辑思维能力、表达能力，能够独立分析和解决实际业务问题； 

 5、热爱游戏行业，对游戏行业和市场保持关注。",,某知名互联网公司,,['SQL'],“发展”
7,增长策略,15k-25k,厦门,湖里区,5-10年,本科,全职,"岗位职责： 
1、负责稿定的产运工作，对营收指标负责 
2、制定并完善运营策略，挖掘转化场景，实现营收增长 
3、协调各项资源，优化用户支付路径，提升用户付费转化 
4、通过市场及竞品分析，落地支付渠道方案，提升支付成功率 

岗位要求： 
1、本科及以上学历，三年以上增长策略工作经验 
2、有较强的逻辑思维能力及数据分析能力，能够根据数据波动发现并解决问题 
3、熟悉各类营销活动玩法和商业用户分群规则，能够匹配产品特性提出落地性强的方案 
4、具备良好的沟通能力，了解产品技术实现原理，擅于组织协调并推动项目落地",厦门-湖里区-高林中路535号万科云玺1号楼领航27楼,稿定科技,"营销服务｜咨询,软件服务｜咨询 / 不需要融资 / 150-500人","['工具类产品', '内容社区', '策略产品', '营收增长']",“六险一金 弹性打卡”
8,海外数字营销专员,8k-15k,厦门,思明区,不限,本科,全职,"岗位职责： 
1、 制定相关的数字营销策略，实现网站流量增长，促进各相关推广平台销售线索转化； 
2、 负责网站搜索引擎优化（SEO）； 
3、 负责制定Google 广告 & Facebook/Linkedin Ads投放策略，策划执行投放方案； 
4、负责数据分析，协助数字营销关键绩效指标跟踪、测量、报告和分析，及时调整投放策略，优化数字营销效果。 

任职要求： 
1、本科及以上学历，英语CET-6以上，具备优秀的英语阅读和写作能力； 
2、 PPC类型广告运营3年以上经验，有Google广告、Facebook广告项目经历优先，擅长使用Google Analytics等分析工具者优先考虑； 
3、有海外To B行业经验优先考虑； 
4、逻辑清晰，学习能力强，具备良好的团队合作精神、高度的责任感。",厦门-思明区-思明区软件园二期观日路56号楼10层睿云联网络通讯技术有限公司,睿云联,"人工智能,工具,物联网 / 不需要融资 / 150-500人","['人工智能服务', '物联网', '北美市场', '欧洲市场', '海外市场推广']",“公司前景好，成长快，氛围好”
9,中高级产品经理,12k-24k,厦门,集美区,不限,本科,全职,"岗位职责 
1、确保产品的可用性和易用性，以及核心运营目标的达成； 
2、推进并带领产品团队以感受体验+数据驱动的方式开展工作； 
3、负责驾考产品的内容搭建和优化、推广运营策略以及用户增长等方面工作的全面把控； 
4、负责用户标签系统的建立和完善； 
5、通过埋点数据和上报数据，搭建数据可视化体系，满足产品部门的数据跟踪需求、推广运营部门的数据分析和跟踪需求、用户增长运营部门的数据分析和跟踪需求； 

任职资格： 

1、本科及以上学历，计算机、软件相关专业； 
2、有成熟的教育类C端产品1--100经验，并有产品规划和团队建设方法论； 
3、能够使用R语言对数据进行分析和建模，会使用tableau/sql/R进行数据分析和可视化体系搭建； 
5、有好奇心、对产品工作充满热情，并为之付出努力；",厦门-集美区-诚毅北大街软件园三期A01栋7楼704-3,厦门青柠檬信息科技有限公司,教育 / 不需要融资 / 15-50人,"['在线教育', '工具类产品', 'TO C']",“老板认知高 优秀产品可给期权”
10,客户广告运营-服装配饰行业,15k-30k,厦门,思明区,3-5年,本科,全职,职位职责：1、负责字节跳动广告业务头部客户和潜力客户的广告投放策略规划及落地；2、提升客户广告投放效果，总结输出投放方法论，赋能行业客户，提升行业整体广告收入；3、收集并分析行业信息，对业务相关产品进行监控及数据分析，定期开展项目复盘，输出行业运营策略及方法，保证行业收入良性增长；4、定期对代理商、客户团队进行培训指导；5、与销售、运营等职能协作，推动专项落地。职位要求：1、本科及以上学历，有大广告主或项目运营经验者优先；,厦门-思明区-台南路77号汇金国际中心25层,字节跳动,"内容资讯,短视频 / D轮及以上 / 2000人以上","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']","“下午茶,六险一金,股票期权,团队氛围好”"
11,销售专员销售代表,7k-10k,厦门,思明区,在校/应届,本科,全职,"岗位职责： 
1、负责客户询盘接待； 
2、负责开拓市场，建设渠道，并达成销售目标； 
3、通过各种渠道宣传公司及产品，策划相关市场活动 
4、负责跟进处理业务工作，包括报价与订单跟进、报表数据分析、合作签约、结款等工作。 

任职要求： 
1、本科及以上学历，专业不限； 
2、谈吐大方，喜欢与人打交道，良好的沟通能力和语言表达能力； 
3、具有优秀的写作能力和统计分析能力，能熟练使用办公室软件； 
4、工作积极主动、执行能力强、理解能力高、细心认真负责、抗压、稳定性强。",厦门-思明区-思明区软件园二期观日路56号楼10层睿云联网络通讯技术有限公司,睿云联,"人工智能,工具,物联网 / 不需要融资 / 150-500人","['智能硬件', '物联网', '销售经理', '大客户代表', '商务专员']",“前景好，成长快，氛围好”
12,大数据开发工程师 (MJ000881),14k-26k,厦门,开元,3-5年,本科,全职,"岗位说明（JD）： 
1、参与大数据平台的服务框架的设计； 
2、参与业务需求调研，根据业务需求设计数据仓库维度模型，并完成数据模型开发； 
3、以数据平台为基础进行项目开发、实施交付； 
4、对项目进行技术选型与技术架构设计；对项目开发进度、代码质量进行管控、技术文档编写与维护。 
岗位要求: 
1、本科及以上学历，计算机软件或相关专业，3年以上工作经验，不少于2年大数据经验，能独立开发项目； 
2、熟悉Hadoop生态圈包括但不限于HDFS、YARN、Hive、HBase、Spark、Kudu、Impala、Flink等，并有实际使用经验； 
3、精通SQL，熟悉Oracle、Mysql，sqlserver等主流数据库开发关系数据库中的一种，有较强的SQL编写能力； 
4、熟悉数据仓库架构，对数据采集及集成、数据建模、数据开发、数据资产管理、数据分析等大数据领域有实际项目经验； 
5、至少熟悉一种以上BI工具开发，并有实际项目经验； 
6、熟悉python、shell等脚本优先； 
7、有高校大数据从业经验者优先；",厦门-思明区-厦门国际中心,袋鼠云,"数据服务｜咨询,人工智能服务 / C轮 / 500-2000人","['数据服务｜咨询', '教育｜培训', 'Spark']",“团队年轻有活力，发展前景好”
13,产品运营助理,5k-10k,厦门,集美区,1年以下,本科,全职,"运营助理实习岗位，面向22年即将毕业的同学开放，可根据个人能力及发展意愿，选择在抖音、快手、百度、今日头条、小红书等平台的运营能力哦。 

在这里你可以参与并学习到这些丰富的工作内容，加速提升个人能力： 

1.熟悉内容生产的规则及工作思路； 

2.参与各种新媒体平台的学习培训，了解各新媒体平台的规则和不同的运营侧重点，从执行工作做起，慢慢积累对外沟通、主导平台运营的全局能力； 

3.跟团队学习新媒体运营，帮助团队提升产品整体DAU/MAU及品牌影响力； 


我们希望你是这样的伙伴： 

1.本科以上，可以每周工作日5天全职在公司实习，可从3月开始实习至毕业(中间支持请假回学校答辩)； 

2.有冲劲，爱学习，喜欢年轻化的团队及工作节奏（我们平均年龄25岁哦）； 

3.遇到问题，主观能动性强，能够整合资源提出有效的解决方案； 

4.对工作有系统化思考的能力，有前瞻的眼光，有良好的人际沟通界面及能力； 

5.有一定的数据分析能力，做运营，数据意识是很重要的； 


如果你有能力，有梦想，想加速，就快来加入我们吧！ 

本岗位有毕业留任的名额，表现优秀者毕业可顺利签约正式劳动合同，享受六险一金全额缴纳，各项福利。",厦门-集美区-诚毅北大街软件园三期A01栋7楼704-3,厦门青柠檬信息科技有限公司,教育 / 不需要融资 / 15-50人,"['内容社区', '工具类产品', 'TO C', '内容运营']",“可留任、专业培训、公司高速发展期”
14,算法工程师（决策方向）-厦门,25k-50k,厦门,思明区,1-3年,硕士,全职,"团队背景：1. 团队主要由来自腾讯、百度、华为等公司的资深AI研究员、架构师构成，拥有世界尖端的NLP与信息分发的经验；
2. 团队成员来自于985/211院校、top海外院校，包括CMU、Oxford、IC、UCL、清华、北大、厦大等院校，水平杰出；3. 团队获得了多个世界比赛（如NeurIPS 2019 AutoDL）**，同时团队已发表上百篇顶会顶刊；4. 目前方向包括CV、NLP、推荐、搜索、知识图谱、对话、画像、AI平台、AutoML等业界核心方向。工作职责：
1、物流优化：负责销量预测与调拨算法，具体工作包括但不限于销量预测、智能营销、智能定价、智能画像、智能调拨等；
2、智能投放：从业务需求出发，通过数据分析和智能算法设计，对具体内容生成与投放方案的设计与实施进行全流程闭环跟进，对整体效果负责；",厦门-思明区-厦门市思明区曾厝垵 软件园1期创新大厦B区301,深度赋智,"软件服务｜咨询,人工智能服务 / 天使轮 / 50-150人","['人工智能服务', '自然语言处理', '数据挖掘', '深度学习', 'Python']",“大牛云集、高速发展、弹性工作”
15,数据特征工程师,18k-35k,厦门,思明区,5-10年,本科,全职,"岗位职责： 
1、负责实时指标的加工及算法实现 
2、主动从各种数据集中发现有价值的指标并加以实现 
3、根据业务需求能够快速设计和实现合理的短期、中期、长期解决方案： 
- 负责数据结构及算法的设计和实现 
 ● 用户画像：如同一家庭用户的识别，去重 
 ● 地理位置数据相关指标的实时采集、分析、加工 
 ● H3 Geo Hex Cluster metrics 
 ● 其他数据分析挖掘模型算法的设计实施 
- 流计算框架 
 ● 开发基于Spark, Kafka ,HDInsight的大数据项目系统 
 ● 研究Flink,Dataflow, Materialize等. 
- 协助Data scientist实现ML模型 
- 编写相关文档等 
任职要求： 
1、熟悉SQL的编写 
2、精通Spark streaming并有大型项目经验，熟悉Spark架构及内部实现，至少了解Spark shuffle机制，内存管理，任务调度,有二次开发经验尤佳 
3、熟悉Scala, Python语言及parquet文件存储格式 
4、熟悉流处理中常用算法和数据结构 
5、3年以上相关工作经验 
6、良好的沟通能力和学习能力，能独立解决问题 
7、有R, Julia语言或者Flink项目经验尤佳 
加分项： 
 ● 有时间序列，图形数据库经验优先",厦门-思明区-软件园二期观日路18号楼401室,字节跳动,"内容资讯,短视频 / D轮及以上 / 2000人以上","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']","“六险一金,晋升空间大,扁平管理,餐补”"
16,行业业务咨询顾问-深圳/厦门,15k-25k,厦门,湖里区,1-3年,本科,全职,"岗位职责： 
1、持续跟踪新售市场，深入洞察行业、客户、竞争和生态等关键要素，能从商业和技术角度分析市场动态，识别关键机会点，制定企业级行业AI解决方案； 
2、内部项目支持：深入理解业务，参与智慧供应链/智慧营销/智慧电力/智慧工业等领域重点项目支持； 
3、完成针对各领域的模块业务调研、需求分析、完成项目上的业务流程方案设计、蓝图设计； 
4、在项目中提出专业的业务方案建议，为客户提供契合实际可落地的解决方案； 
5、辅助售前团队，在售前阶段输出相应的行业业务方案知识，配合售前讲标或承担业务方案部分的讲标工作。 

任职资格： 
1、***本科及以上学历，供应链、工业工程、自动化等相关专业优先； 
2、对供应链流程有深入的了解，并在相应业务板块有丰富的专业知识和行业洞见，比如需求与预测管理、生产计划、采购计划、调拨计划、订单履约、库存管理等关键业务领域的需求分析与需求管理； 
3、具备较强的客户沟通、PPT编写能力和业务方案演示能力，能与客户进行项目业务方案演示和讲解； 
4、具备一定的抗压能力，能主动发现与分析项目执行过程中出现的各类业务需求问题和风险，能与团队成员、及客户方对应的负责人保持良好的合作关系；能熟练使用至少一种相关数据分析工具； 
5、德勤、麦肯锡等顾问咨询经验优先。",厦门-思明区-厦门市思明区曾厝垵 软件园1期创新大厦A区603,勇仕,游戏 / 上市公司 / 150-500人,"['数据运营', 'BI']","“奖金,分红,项目好,出国游”"
17,渠道专员,8k-13k,厦门,思明区,不限,本科,全职,"岗位职责：1、渠道内容的运营：策划在各渠道发布的内容并把握发布的机制、节奏及质量；2、渠道投放：负责研究联运渠道的投放规则与用户属性并进行精准的广告投放；3、渠道数据的运营：沉淀并分析联运渠道运营数据表现，发现渠道痛点，提出改善方案；4、负责对渠道的每日数据、创意效果数据统计，并进行分析和反馈；5、负责渠道的素材创意构思产出及跟进美术资源的制作。任职要求：
1、专科以上学历，专业不限；",厦门-思明区-软件园二期观日路26号之四203-205室极致游戏,中科聚信,数据服务｜咨询 / B轮 / 50-150人,"['科技金融', '金融业', 'Python', 'SQL', '回归算法']",“发展前景好，培训机会多，团队nice，薪酬完善”
18,产品经理,8k-15k,厦门,思明区,1-3年,本科,全职,岗位职责：1、负责公司产品的规划和推动实施，产品涉及PC端与移动端；2、编写产品原型及产品需求说明，协调开发团队、测试、运营等人员推进完成产品目标；3、持续挖掘用户需求进行产品创新，合理规划产品发展与功能规划，持续优化产品；4、协助开发团队理解和掌握需求，对产品需求方向和易用性负责。任职要求：1、2年以上的产品经理工作经验，本科学历及以下；2、熟悉B端产品，且未来有志于在互联网电商B2B领域长期发展；,厦门-思明区-厦门市思明区吕岭路1733号创想中心A座711室,建信金科,科技金融 / 不需要融资 / 2000人以上,"['科技金融', 'JAVA', 'Python']",“平台好、团队实力强”
19,用户增长运营,10k-20k,厦门,湖里区,3-5年,本科,全职,"关于我们： 
Hi，这里是稿定，一家年轻、好玩、有创造力的互联网公司。自2010年创立至今，我们已在多媒体创作工具、AI辅助设计以及图形图像算法等领域储备了丰富的核心技术，上百项专利，并帮助1亿的C端海内外用户、500万的B端企业用户实现设计及营销效能的提升。在这里，你不仅可以与来自腾讯、字节、阿里等一线互联网公司的小伙伴进行专业能力上的“切磋”，同时也可以充分参与到业务决策中去，充分发挥自我价值，不做无趣的“螺丝钉”！ 
更多信息：www.gaoding.com 

岗位职责： 
1、负责稿定的产运工作，对营收指标负责 
2、制定并完善运营策略，挖掘转化场景，实现营收增长 
3、协调各项资源，优化用户支付路径，提升用户付费转化 
4、通过市场及竞品分析，落地支付渠道方案，提升支付成功率 

岗位要求： 

1、本科及以上学历，三年以上增长策略工作经验 
2、有较强的逻辑思维能力及数据分析能力，能够根据数据波动发现并解决问题 
3、熟悉各类营销活动玩法和商业用户分群规则，能够匹配产品特性提出落地性强的方案 
4、具备良好的沟通能力，了解产品技术实现原理，擅于组织协调并推动项目落地",厦门-湖里区-高林中路535号万科云玺1号楼领航27楼,爱尔卓科技,"工具类产品,软件服务｜咨询,物联网 / 未融资 / 50-150人","['工具类产品', 'Python', '互联网', '产品漏斗', '运营优化']",“团队协作”
20,营销策划主管,16k-30k,厦门,思明区,3-5年,本科,全职,"职位职责： 
1、负责手游产品市场发行工作，根据产品特色及发行阶段，结合市场环境与用户分析，可独立完成市场推广策略全案的制定与执行，包含新品上线、版本更新； 
2、协同广告投放、创意、商务等团队，确保团队对项目策略有深刻理解，帮助团队将产品策略转化为投放买量计划、创意内容、渠道方向等，实现推广指标；； 
3、负责调查研究目标市场和用户画像和偏好，进行产品和营销包装以扩大用户规模，整合各类线上、线下渠道和资源，以广告、活动、合作等各种方法实现市场目标； 
4、针对游戏已上线和在进行的市场活动，做舆情监控、数据分析和工作流回顾，产出分析和复盘报告，提出在后续的类似企划中需要避免的问题和可以提升的空间； 
5、定期根据市场反馈和受众洞察，提出切实可行的campaign思路和运营建议，对市场企划进行优化调整，从而建立游戏的品牌形象，提升游戏口碑； 
6、对团队组员进行管理，培训，定期出产人员管理报告和复盘总结； 

任职要求： 
1、有三年以上从0-1全案营销策划经验，有游戏行业背景优先； 
2、熟练掌握营销方法，了解手游发行的流程，熟悉各类游戏类型及渠道推广； 
3、可以多线程运作，优秀的项目管理和统筹能力，做事有自己的方法论和底层逻辑； 
4、具备较强的全局意识和分析能力，有较强的领导、组织和项目管理经验，能够有效管理和解决问题的能力，具备独立带项目经验者优先； 
5、对新市场、媒体渠道、新兴事物有较高的热情、敏感度和经验，深入了解玩家和品牌研究； 
6、具备良好的沟通能力、主动性、执行力、抗压力、责任心、团队协作能力。 
",厦门-思明区-观日路26号204室之二极致游戏,建信金科,科技金融 / 不需要融资 / 2000人以上,"['科技金融', 'JAVA', 'C++']",“平台好，薪资福利好，发展前景好”
21,音视频开发⼯程师(J3L3L),20k-40k,厦门,集美区,3-5年,本科,全职,"职位描述： 
1. 负责公司平台的⾳视频相关业务的产品模块设计，研发和上线 
2. 基于Android平台进⾏播放器的开发和优化 
3. 负责相关⾳视频的编解码研究 
4. 基于⽇志和探针数据分析，不断优化播放器，提升视频播放的流畅度 
5. 充分融⼊团队，保障基线项⽬按时上线 


职位要求： 
1. 熟练掌握c/c++或Java语⾔ 
2. 熟悉多媒体播放器原理，熟悉Android多媒体框架 
3. 熟悉FFmpeg，熟练掌握FLV/MP4等多媒体封装格式，熟悉常⽤的编解码器 (openh264、x264、videotoolbox、mediacodec 等) 
4. 有直播点播客⼾端播放器开发经验者优先 
5. 全⽇制本科及以上学历，通信、电⼦、计算机等相关专业优先 
加分项： 

1. 熟悉H.264、H.265、AAC等编码格式标准优先 
2. 熟悉webrtc，ffmpeg，vlc，ijkplayer，gstreamer，ExoPlayer等开源项⽬优先",厦门-集美区-软件园三期B21栋202,某知名互联网公司,,['SQL'],“发展”
22,视频产品经理,10k-16k,厦门,湖里区,1-3年,本科,全职,"岗位职责: 

1. 参与视频产品战略目标规划，独立负责视频产品的项目推进。 
2. 深度分析用户视频需求、视频行业竞品及流行趋势，把握市场动向和用户需求。 
3. 挖掘和分析现有业务数据，持续跟踪竞品动向、数据分析、用户反馈； 
4. 研究用户视频需求及行为特点， 及时制定相应的产品策略，完成产品的快速迭代，提升相关业务指标。 


任职资格: 

1. 2-3年移动影像APP产品相关经验。 
2. 有视频编辑工具产品经验优先，喜欢视频拍摄及视频编辑。 
3. 有自己的色彩及效果的敏锐度，了解时下年轻人的视频编辑喜好。 
4. 性格开朗活泼， 工作积极主动，具备良好的沟通能力及问题解决能力。 
5. 熟练使用Axure、Xmind、Office、墨刀等常用软件。 
",厦门-思明区-思明区软件园2期望海路6号,稿定科技,"营销服务｜咨询,软件服务｜咨询 / 不需要融资 / 150-500人","['工具类产品', '内容社区', '策略产品', '营收增长']",“六险一金 弹性打卡”
23,区块链高级产品经理,25k-50k,厦门,思明区,3-5年,本科,全职,"职位描述 
1、区块链创新产品的生态及模型调研、需求分析、规划和产品设计；推动产品的迭代升级； 
2、负责选型和设计适用行业场景的区块链产品，并推动区块链应用和解决方案的落地实施； 
3、负责撰写产品文档，对产品需求、产品功能、交互设计等环节进行把关； 
4、负责产品生命周期的管理，跟进并推动项目迭代和上线，并制定数据分析指标； 
5、对日常数据进行跟踪和研究，定期分析结果，持续优化产品功。 

任职要求 
1、有良好的英语基础及英语口语沟通能力； 
2、3年以上互联网产品工作经验，产品策划或项目管理经历；1年以上区块链工作经验；计算机、金融背景优先； 
3、熟悉Hyperledger Fabric，EOS，Polkadot，Ethereum等主流区块链产品的框架和技术特点； 
4、有区块链解决方案、区块链产品设计或其他区块链产品相关工作经验优先； 
5、思维活跃，逻辑条理清晰；能独立完成产品逻辑机制的调研和分析，产出较高质量的市场和竞品调研； 
6、有较强的独立管理项目的能力，擅长数据分析的优先； 
7、掌握主流产品设计工具，能高质量完成产品原型的输出和PRD文档的撰写。",厦门-集美区-侨英路698号,睿云联,"人工智能,工具,物联网 / 不需要融资 / 150-500人","['人工智能服务', '物联网', '北美市场', '欧洲市场', '海外市场推广']",“公司前景好，成长快，氛围好”
24,区块链高级运营,20k-40k,厦门,集美区,1-3年,本科,全职,"职位描述 
1、统筹区块链运营工作，包括不限于PR、活动、社区等，完善相关运营规划； 
2、了解区块链、NFT行业，可统筹落地公司内外部运营方案，包括负责撰写区块链领域相关文档，把控项目进度，进行推广宣传； 
3、跟踪、洞察行业的最新趋势及最新技术，了解市场的资讯，对项目作出规划分析； 
4、维护客户关系，配合合作渠道进行运营推广、内容更新。 
5、负责社群架构和载体的搭建与运营，对客户增长、线上引导，投资转化的增长策略、运营方案、日常运营等事项全面负责；配合合作渠道进行运营推广、内容更新。 
6、通过微信群、社区等与品牌受众进行良性互动，建立有效的手段提升群内活跃度； 
7、负责平台的会员服务，进行会员管理等事务； 

任职要求 
1、对区块链、Web3.0、DeFi、NFT有浓厚兴趣并有自己较为深度的见解； 
2、自己持有区块链相关代币，在各个区块链项目社群中较为活跃； 
3、了解区块链特点及浅性技术原理，了解共识机制； 
4、参与过ICO，对ICO有自己的见解与建议； 
5、对市场敏感，思路清晰，思维活跃，逻辑有条理，善于数据分析； 
6、科技类知识面广泛，文笔佳，可撰写区块链行业相关文档； 
7、拥有一定的活动策划和完美的执行力，善于制造话题和策划社区活动，并引导用户参与互动； 
8、具有较高的语言提炼能力与表达能力，善于引导客户； 
9、沟通能力卓越，能够在运营目的导向下协调、推动项目快速执行。 
10、英文佳",厦门-集美区-侨英路698号,厦门青柠檬信息科技有限公司,教育 / 不需要融资 / 15-50人,"['在线教育', '工具类产品', 'TO C']",“老板认知高 优秀产品可给期权”
