,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
115,逆向工程师,/job_detail/ac9385779da5f8fe1XZ52tq6EVtV.html,广州·海珠区·琶洲,15-30K·13薪,3-5年,本科,太簇科技,/gongsi/7edd879d9b85d9831XRz3tW9F1M~.html,计算机软件,天使轮,20-99人,"['逆向', '爬虫', '自动化', '加密', '渗透', 'IDA', '脱壳', 'Frida']",零食下午茶，全勤奖，带薪年假，节日福利，五险一金，年终奖
116,安卓逆向工程师,/job_detail/57c7c5b3f1090a5d1nR92N67EFFV.html,广州·番禺区·钟村,18-35K·14薪,3-5年,本科,美云智数,/gongsi/4175315b8b28d0d00XB_39W8.html,互联网,不需要融资,1000-9999人,"['xposed框架', '逆向开发', '爬虫']",五险一金，餐补，年终奖，节日福利，交通补助，员工旅游，补充医疗保险，零食下午茶，免费班车，定期体检，带薪年假
117,数据采集,/job_detail/92e90da4a72e7dbd1XV829m_EFBT.html,广州·天河区·珠江新城,10-15K,1-3年,本科,中思拓,/gongsi/4cb62dfe539c06f20Hx73d6_Eg~~.html,计算机软件,未融资,20-99人,"['Python', 'JS逆向', '自动化采集', '反爬虫', '爬虫', '数据抓取', '数据采集']",全勤奖，餐补，零食下午茶，五险一金，年终奖，带薪年假，通讯补贴，节日福利
118,爬虫开发工程师,/job_detail/fbc3f4d5b44fdefe0XJ_0t67EFI~.html,广州·番禺区·番禺广场,20-21K,3-5年,本科,BIGO,/gongsi/d1539fda413000a10XB-0tW6.html,移动互联网,已上市,1000-9999人,"['网络爬虫技术', 'Web端', '数据挖掘', 'Python', 'Java']",全勤奖，五险一金，股票期权，年终奖，定期体检，补充医疗保险，带薪年假，住房补贴
119,爬虫工程师,/job_detail/2d5a45bfa141c20c1XR63dW-E1JZ.html,广州·白云区·机场路,12-20K,1-3年,大专,问问科技,/gongsi/851c21d81e5dc75a1nV90928GVI~.html,生活服务,天使轮,20-99人,"['网络爬虫技术', '分布式技术', '数据仓库']",五险一金，零食下午茶，加班餐补，带薪年假，员工旅游，股票期权，节日福利
120,爬虫实习生,/job_detail/9518c9512d6fd1541Hxz0t68ElQ~.html,广州·天河区·冼村,3-5K,经验不限,本科,静瞳海外投资,/gongsi/ead988e94bf828081XJ43NS5GA~~.html,其他专业服务,未融资,20-99人,"['Python', '数据处理', '数据统计']",
121,高级爬虫工程师,/job_detail/d4bbc14339061bbc1n1_3di7GFc~.html,广州·天河区·珠江新城,20-30K,3-5年,本科,网易游戏,/gongsi/378e32b74df25c2c1XRy2N2_FFA~.html,游戏,已上市,10000人以上,"['java爬虫', 'python爬虫', '抓取']",员工旅游，包吃，补充医疗保险，餐补，交通补助，免费班车，节日福利，五险一金，带薪年假，股票期权，年终奖，定期体检
122,爬虫开发工程师,/job_detail/d0860c2e62ba3e813nZ_0tS4Elc~.html,广州,8-13K·13薪,1-3年,本科,米果电商,/gongsi/807fc087b379d81c0HZ50tq9FA~~.html,电子商务,未融资,100-499人,"['CSS', 'HTML', 'SQL', '爬虫工程师', 'Python算法工程师', 'Python工程师']",员工旅游，带薪年假，节日福利，零食下午茶，年终奖，全勤奖，五险一金
123,Python爬虫工程师,/job_detail/eb7e45a0fd730e3d1n182tm-F1NZ.html,广州·海珠区·新港东,11-18K·13薪,3-5年,大专,珠江智联,/gongsi/231b1dc80ef0bd6903B-3t66.html,计算机软件,不需要融资,100-499人,"['Java', '分布式技术', '网络爬虫技术', '搜索引擎技术', 'NoSQL', 'Python']",加班补助，定期体检，住房补贴，补充医疗保险，五险一金，年终奖，带薪年假，餐补，节日福利
124,爬虫工程师,/job_detail/6ea8d1b06c7b856a0HZy0t64EFA~.html,广州·天河区·东圃,15-30K·13薪,3-5年,大专,搜游科技,/gongsi/82b8038374bbb07b0HZ909q_GQ~~.html,游戏,不需要融资,20-99人,"['网络爬虫技术', 'Python', '验证码']",加班补助，交通补助，包吃，零食下午茶，五险一金，餐补，带薪年假，通讯补贴，全勤奖，年终奖，住房补贴，员工旅游
125,爬虫工程师,/job_detail/20810f123dbc7b0c1XR70928FVRT.html,广州·海珠区·琶洲,15-20K·13薪,3-5年,大专,摩航时代,/gongsi/c6fc1749530f1c070HZ-0924FA~~.html,互联网,不需要融资,100-499人,"['Java', '网络爬虫技术', '搜索引擎技术', '分布式技术', '多线程', 'Scrapy', 'Flask', 'NoSQL']",全勤奖，股票期权，零食下午茶，年终奖，五险一金，节日福利，带薪年假，周末双休，员工旅游，包吃，定期体检
126,高级爬虫工程师,/job_detail/dc52db2a3f598c111n140ty7EFJS.html,广州,18-35K·14薪,3-5年,本科,探迹,/gongsi/8dda792e8b6182601HR72dq5.html,互联网,B轮,1000-9999人,"['Python', '网络爬虫技术', 'MySQL', 'web逆向', 'APP逆向', '反爬']",通讯补贴，全勤奖，带薪年假，定期团建，员工旅游，零食下午茶，定期体检，补充医疗保险，节日福利，五险一金，餐补，股票期权，年终奖，加班补助
127,爬虫工程师,/job_detail/bef1ed3dd39f57a41XV72966EVJW.html,广州·越秀区·东风东,11-20K,3-5年,本科,众成大数据,/gongsi/57bbf79ef647fa591nN93Ni5FVo~.html,互联网,A轮,100-499人,"['Scrapy', 'MongoDB', 'MySQL', 'Linux', '网络爬虫技术', '多线程', 'GIT']",餐补，节日福利，零食下午茶，股票期权，带薪年假，五险一金，年终奖，员工旅游，加班补助
128,爬虫工程师,/job_detail/6f9c33062679f8301nx809i8EVNR.html,广州·天河区·猎德,20-25K·14薪,3-5年,本科,数说故事,/gongsi/2da27d046163a2b803N90t67.html,互联网,C轮,500-999人,"['Java', 'Python', 'Shell']",员工旅游，定期体检，年终奖，零食下午茶，带薪年假，五险一金，节日福利
129,高级爬虫工程师,/job_detail/b6c19fdcf15c9e271XZ739u1E1pS.html,广州·天河区·岑村,16-22K·13薪,3-5年,本科,数源智汇,/gongsi/ec9315b998a5b1661n1y0tq8EFA~.html,计算机软件,A轮,100-499人,"['Java', 'Python', 'Shell', '电商', '天猫', '淘宝', '京东', '日采集千万']",年终奖，商业保险，节日福利，带薪年假，股票期权，五险一金，员工旅游
130,爬虫工程师（双休+自研）,/job_detail/52efdd4ac405b8891XVy2NW4EVpU.html,广州·天河区·体育中心,15-20K,3-5年,本科,企企通,/gongsi/ef1a5c39019886791HF40ty0.html,企业服务,C轮,1000-9999人,"['网络爬虫技术', '分布式技术', 'GIT', 'HTML', 'DOM', 'Apktool', 'dex2jar']",零食下午茶，股票期权，节日福利，五险一金，通讯补贴，带薪年假
131,爬虫数据采集工程师,/job_detail/e95b44708869d7a51XZ62dy8EFpY.html,广州·番禺区·大学城,15-28K·14薪,3-5年,本科,寻星网络,/gongsi/60a9e1ad9ebd19691XR909-4GFY~.html,互联网,,1000-9999人,"['Python', '数据结构', 'Java', '数据采集', '爬虫开发']",
132,爬虫工程师（周末双休）,/job_detail/477cf4c9ae7a28241XV72NW-EFZR.html,广州·番禺区·南村,8-13K,1-3年,本科,头文科技,/gongsi/deba5da024a62a731nF729S-Fg~~.html,互联网,A轮,100-499人,"['网络爬虫技术', '搜索引擎技术', 'Scrapy', 'SQL', '初级软件工程师', '中级软件工程师', '高级软件工程师', 'MySQL']",节日福利，零食下午茶，带薪年假，股票期权，全勤奖
133,Java实习生（往爬虫方向）,/job_detail/9fe1a044640f02020XF93Nq_E1M~.html,广州·天河区·时尚天河,100-150元/天,5天/周5个月,本科,比地数据,/gongsi/9dc54143369694501HZ-2Ni5.html,数据服务,未融资,100-499人,"['Java', 'JavaScript', 'HTML', 'CSS', 'Spring', 'Hibernate', 'JQuery', '网络爬虫技术']",节日福利，零食下午茶，五险一金，年终奖，员工旅游，定期体检，带薪年假
134,高级爬虫工程师（双休+地铁周边）,/job_detail/93ed1626c4c3fdf61XZ-2tS5E1tV.html,广州·天河区·燕岭,15-25K,3-5年,本科,万晟,/gongsi/31911c880fc141a91nZ60tm1EVE~.html,咨询,未融资,20-99人,"['网络爬虫技术', '分布式技术', 'Linux', 'Scrapy', '高级软件工程师']",住房补贴，餐补，节日福利，员工旅游，带薪年假，通讯补贴，年终奖，五险，定期体检，零食下午茶，交通补助，全勤奖
135,Python,/job_detail/c33733a6acc1b8041XVz3NS8FldQ.html,广州·天河区·龙口,12-20K,3-5年,大专,蓝高信息,/gongsi/4d4c29633d9bfaf11n1z3tq4FVc~.html,互联网,,0-20人,"['SQL', '网络爬虫技术', '数据结构', 'Scrapy', 'Django', 'MySQL']",
136,RPA实习工程师,/job_detail/6e0ef64530b9870e1nF43Ni5FFVS.html,广州·天河区·粤垦,150-200元/天,5天/周3个月,本科,金服软件,/gongsi/99ba8fab47155fba0nd93Nm7EQ~~.html,企业服务,不需要融资,20-99人,['Java'],通讯补贴，五险一金，带薪年假，交通补助，零食下午茶，定期体检，餐补
137,前端开发工程师(有逻辑),/job_detail/9b8186fcf2c306181XVy09y6E1NZ.html,广州·番禺区·南村,5-8K,1-3年,本科,北瓜藤子,/gongsi/bff7b57a3417baec1XRy2dy1FVc~.html,计算机软件,,0-20人,"['Web前端', 'JavaScript', 'Node.js']",绩效奖金，节日福利，全勤奖，年终奖，生日福利
138,Golang开发实习生（2022年全日制本科）,/job_detail/d3709d38344f55281XR-3du-EFpW.html,广州·天河区·林和,5-7K·13薪,经验不限,本科,人人租,/gongsi/6840ecd1a9c999361nB93N6-GA~~.html,企业服务,B轮,500-999人,"['Python', '分布式技术', '多线程', '架构师', 'PHP', '算法基础', '后端开发', '初级软件工程师']",节日福利，股票期权，餐补，零食下午茶，五险一金，全勤奖，带薪年假，定期体检，年终奖，加班补助，生日红包，员工旅游
139,大数据架构师,/job_detail/c3ac615a7729a2571XV43du9E1BY.html,广州·黄埔区·万达广场,15-25K·13薪,3-5年,本科,九舞数字,/gongsi/88fd5e1167c6502203Nz0t64.html,计算机软件,未融资,20-99人,"['PHP', 'SQL', 'Java', 'Python']",年终奖，节日福利，五险一金，带薪年假，住房补贴，补充医疗保险，员工旅游，全勤奖，医疗基金，交通补助，零食下午茶，定期体检
140,数据标注工程师,/job_detail/5468e4c3f3b845071XV93ti_F1JU.html,广州·番禺区·长隆,7-12K,经验不限,大专,盈合机器人,/gongsi/a1b8ae10cfdbc3690H1939S8Fw~~.html,智能硬件,A轮,100-499人,"['音频', '文字']",五险一金，年终奖，零食下午茶，住房补贴，带薪年假，包吃，节日福利
141,后端实习生,/job_detail/ee97378ea4cad2301XR_2N-1GFZT.html,广州·黄埔区·中心城,150-300元/天,3天/周2个月,本科,广纳创新院,/gongsi/5b814f069114475c0HZ62tS1Ew~~.html,学术/科研,不需要融资,100-499人,"['Python', 'SpringBoot']",定期体检，五险一金，通讯补贴，年终奖，员工旅游，加班补助，节日福利，带薪年假
142,风控产品经理,/job_detail/819fdb5ec10d17d91XV_3Nq1F1dT.html,广州·海珠区·琶洲,50-80K·14薪,5-10年,本科,唯品会,/gongsi/b72f700dda59df7b33B90tU~.html,互联网,已上市,10000人以上,"['风控产品', '需求分析', '产品设计', '项目管理']",带薪年假，交通补助，住房补贴，节日福利，定期体检，股票期权，员工旅游，补充医疗保险，免费班车，零食下午茶，包吃，五险一金，年终奖，全勤奖，通讯补贴
143,golang后端开发,/job_detail/871c87a7de3c3c011nN63dm8FVFU.html,广州·天河区·车陂,14-18K,1-3年,大专,池骋网络,/gongsi/afe965c9e3bee0c81nJy2d26EQ~~.html,游戏,未融资,20-99人,"['Python', 'Linux', 'Unix', 'golang']",零食下午茶，定期体检，五险一金
144,数据分析实习生,/job_detail/847997a39d25dcca1XZ709i5E1BY.html,广州·天河区·员村,150-200元/天,5天/周3个月,本科,道一云,/gongsi/dc6c51dd9b43b28603B70t8~.html,互联网,已上市,1000-9999人,"['SQL', 'Python']",年终奖，餐补，节日福利，定期体检，带薪年假，五险一金，周末双休
145,大数据分析工程师,/job_detail/2a6e24ba8d5085101n1-3Nm4EVpR.html,广州·黄埔区·科学城,6-10K,1-3年,本科,广州尚科,/gongsi/488b4cd139c7be361nFy2tq9FVY~.html,数据服务,不需要融资,20-99人,"['Tableau', 'SQL', 'Python', 'Shell', '聚类分析', '回归分析', 'Spark', 'HDFS']",加班补助，员工旅游，零食下午茶，节日福利，带薪年假，免费班车
146,Python开发工程师,/job_detail/3ffbf69436b9e1d01XVy29W5ElRV.html,广州·天河区·猎德,8-13K,经验不限,大专,缨格轮贸易,/gongsi/0325b08faae9fd8e1Xx53967EA~~.html,贸易/进出口,不需要融资,20-99人,"['Django', 'Flask', 'NoSQL', 'MongoDB']",员工旅游，节日福利，零食下午茶，团建聚餐，带薪年假，五险一金
147,高级Java开发工程师,/job_detail/015249e5e4570c0c0HJz3Nm4FVU~.html,广州·海珠区·赤岗,18-23K·13薪,3-5年,本科,故新智能,/gongsi/9526f843366e7d1c03J929u_EA~~.html,计算机软件,天使轮,20-99人,"['Java', '后端开发', 'MongoDB']",零食下午茶，年终奖，五险一金，加班补助，定期体检，全勤奖，股票期权
148,web全栈工程师（安全开发方向）,/job_detail/6efbfe1e5b8ba7a21XZ62t24FFVZ.html,广州·天河区·小新塘,11-20K·13薪,1-3年,大专,锦行科技,/gongsi/f46bcc346d8bf9b51nJ42dy0Ew~~.html,信息安全,B轮,100-499人,"['PHP', 'Python', '后端开发', '前端开发', 'NoSQL', 'Redis', 'MongoDB']",定期体检，带薪年假，零食下午茶，加班补助，全勤奖，节日福利，餐补，年终奖，员工旅游，股票期权，五险一金
149,运维开发工程师,/job_detail/29b3d7bcbb39e8b01XZ80t24EFtV.html,广州·天河区·东圃,8-15K,3-5年,本科,软通动力信息技术集团,/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html,计算机软件,已上市,10000人以上,"['Linux', 'MongoDB', '运维开发']",五险一金，零食下午茶，交通补助，年终奖，餐补，免费班车，员工旅游，通讯补贴，补充医疗保险，包吃，定期体检，加班补助，全勤奖，带薪年假，节日福利
150,算法开发工程师,/job_detail/18f79ebb3359b6c01n1-39m6GFVS.html,广州·天河区·棠下,15-25K·13薪,3-5年,大专,云硕科技,/gongsi/5c49b5285407a0d20XN92Ny0.html,移动互联网,已上市,100-499人,"['算法设计', '深度学习算法', '视觉图像算法', '自然语言处理', 'C++', 'Java', 'TensorFlow', 'PyTorch']",加班补助，定期体检，节日福利，带薪年假，商业保险，结婚贺金，员工旅游，补充医疗保险，五险一金，年终奖，育儿贺金，零食下午茶
151,BI项目经理,/job_detail/978ba5c8a1563e300H1_3N-6F1U~.html,广州,15-25K,3-5年,大专,迅易科技,/gongsi/e3db6957db59c7a81nd83t69EQ~~.html,互联网,未融资,100-499人,"['项目经理', 'SQL', '网络爬虫技术', '大数据', '商业智能', 'power bi', '.NET']",带薪年假，补充医疗保险，节日福利，周末双休，年终奖，定期体检，零食下午茶，弹性上班，五险一金，员工旅游
152,数据采集专员,/job_detail/9ab56b417a2364891n172t-8EVZX.html,广州·天河区·天河公园,10-15K,1-3年,本科,广东海腾科技有限公司,/gongsi/622b8e55ee67b1a91nxz3ty_GVo~.html,互联网,未融资,100-499人,"['PHP', '内容采集专员', '文章采集专员', '信息采集员']",带薪年假，节日福利，零食下午茶，五险一金，生日福利
153,Python开发工程师,/job_detail/7ccad9e315ff1eba1nxy09S7FFJW.html,广州·黄埔区·中心城,12-24K·14薪,经验不限学历,不限,多益网络,/gongsi/0aed2b8296e46d411HB509U~.html,互联网,不需要融资,1000-9999人,"['网络爬虫技术', '分布式技术', '架构师', 'NoSQL', 'MySQL', 'Redis', 'MongoDB']",五险一金，年终奖，全勤奖
154,Python后端开发工程师,/job_detail/bbb10ea020574b0e1nJz09S8EVFQ.html,广州·天河区·东圃,12-20K,3-5年,本科,满帮集团,/gongsi/879ccc35345e3c0133172N68GA~~.html,移动互联网,已上市,1000-9999人,"['Java', 'MySQL', 'MongoDB', 'Redis', 'Flask']",五险一金，股票期权，节日福利，年终奖，定期体检，员工旅游，零食下午茶
155,Python开发工程师-兼职,/job_detail/957bfd412fe5e1221nJ72d29EFRS.html,广州·天河区·元岗,8-12K,5-10年,大专,万云电商,/gongsi/4d0782117373f1280HF40t-_FQ~~.html,电子商务,未融资,20-99人,"['分布式技术', '网络爬虫技术', '多线程', 'Redis', 'PostgreSQL', 'Scrapy', '架构师']",
156,数据分析工程师,/job_detail/7ddbd10dc4c914c11XR-39S1FlpW.html,广州·天河区·跑马场,12-18K,3-5年,本科,普瑞纯证,/gongsi/c17228fcc84bc8093nV_29S5GA~~.html,咨询,A轮,20-99人,"['Python', 'Tableau', '决策树', 'R', 'Pandas', '机器学习']",股票期权，五险一金，零食下午茶，节日福利，住房补贴，餐补
157,大数据开发工程师,/job_detail/7c255c1ed51847b81n140tS9GFpQ.html,广州·海珠区·赤岗,12-24K,1-3年,本科,药师帮,/gongsi/2e99ed3130664dce0nJ82dS_.html,互联网,D轮及以上,1000-9999人,"['Python', 'Spark', 'HIVE', 'Hadoop']",节日福利，股票期权，员工旅游，加班补助，五险一金
158,C#开发工程师,/job_detail/8d59c7696dc4ba701nJy2NW5EFZZ.html,广州·天河区·猎德,8-13K·13薪,1-3年,本科,华盈体育,/gongsi/fb5c75d98f7bbb4703xy3t-5GA~~.html,互联网,A轮,100-499人,"['CSS', '微服务架构', '后端开发', 'C#']",年终奖，零食下午茶，包吃，住房补贴，五险一金，带薪年假，节日福利，加班补助，定期体检，员工旅游
159,python工程师,/job_detail/0079104dcb2960241nN53t-0F1ZV.html,广州·天河区·珠江新城,8-12K·13薪,经验不限,本科,天讯瑞达,/gongsi/b893df88353a8efa0HN439W-.html,计算机软件,不需要融资,500-999人,"['网络爬虫技术', '多线程', '服务器配置', '网络编程', '搜索引擎技术', '多进程', 'Redis', 'Django']",年终奖，交通补助，免费体育活动，员工旅游，节日福利，零食下午茶，五险一金，周末双休，带薪年假
160,Python课程讲师,/job_detail/dc61478df24f2be633152NS8F1I~.html,广州·天河区·天河公园,20-40K·16薪,1-3年,本科,鱼贝科技,/gongsi/7788e0e99e2d76df1HJ90tu5EQ~~.html,互联网,未融资,100-499人,"['Python', '讲师', '老师', 'IT培训']",五险一金，零食下午茶，节日福利
161,安全运维工程师（WAF向）,/job_detail/0bc1a38f2ded2c901XR839y5E1pY.html,广州,25-30K,5-10年,本科,药通科技,/gongsi/57359f8132d058d31nF439q7GFY~.html,医疗健康,,20-99人,"['Nginx Open', 'Expressjs', 'Lua脚本语言', 'Nodejs', 'WAF', '运维开发']",节日福利，员工团建，零食下午茶，五险一金，带薪年假
162,python讲师,/job_detail/a6cdcbb08ee3e5a71nN62tW1EVdS.html,广州·天河区·车陂,9-14K,1-3年,大专,中职通教育,/gongsi/ec5c7566d6d522c033V53Nm8EA~~.html,在线教育,未融资,500-999人,"['SQL', '网络爬虫技术', '数据结构', 'Redis', 'NoSQL']",节日福利，员工旅游，带薪年假，年终奖，零食下午茶，生日福利，五险一金
163,渗透测试工程师,/job_detail/ad843346bcaac91a33d63tu4E1A~.html,广州·天河区·五山,8-13K,1-3年,大专,竞远,/gongsi/cfd98ea80b4f76551HB_3dq6FA~~.html,信息安全,未融资,100-499人,['渗透测试'],通讯补贴，员工旅游，技术培训，业余活动，交通补助，年终奖，商业保险，带薪年假，五险一金，节日福利
164,外贸技术SEO/SEM/社媒营销,/job_detail/a85cb33ce364cb7a1XV72928FFpS.html,广州·花都区·花山,5-6K,1年以内,大专,视觉(POJ)灯光,/gongsi/373e6cdedd4e07791nB-2tm4FVs~.html,原材料及加工/模具,不需要融资,20-99人,"['新媒体', '信息流投放经验', '电商平台', '海外市场推广经验', '浏览器', '应用商店', '英文网站推广经验', '平台方']",全勤奖，住房补贴，节日福利，包吃，零食下午茶
165,高级Python开发工程师,/job_detail/a118560224817aee1nx-39m8GVZU.html,广州·天河区·东圃,15-25K·13薪,3-5年,大专,远晴文化,/gongsi/26805e4d8f20cb440Xd53d-9EA~~.html,文化/体育/娱乐,不需要融资,20-99人,"['网络爬虫技术', '逆向开发', '加壳脱壳', 'Python']",全勤奖，员工旅游，节日福利，五险一金，餐补，补充医疗保险，年终奖，住房补贴，定期体检，包吃，零食下午茶，加班补助，交通补助，带薪年假
166,Java开发工程师/软件工程师,/job_detail/b0bc191e18c380893nN_3968FFU~.html,广州·海珠区·客村,7-12K,1-3年,本科,艾颂音乐,/gongsi/d6cb42bb7ad7b50303B-39u-GA~~.html,音乐/视频/阅读,A轮,0-20人,"['Java', 'Javascript', '全栈开发']",零食下午茶，带薪年假，节日福利，餐补
167,Python开发工程师,/job_detail/8541df3d49588b861nFy2di0ElZU.html,广州,8-12K·13薪,1-3年,本科,德生科技,/gongsi/ff33daed16b76bf30Xx929i-.html,计算机软件,已上市,1000-9999人,"['Python', 'Shell', 'SQL']",带薪年假，节日福利，交通补助，股票期权，年终奖，免费班车，通讯补贴，定期体检
168,数据标注及算法验证工程师,/job_detail/c037d2867f7566ce1XV93tu5GFBY.html,广州·黄埔区·中心城,10-15K,3-5年,本科,奔流电力,/gongsi/7ecd065d1eea49fd03xz3dm-EQ~~.html,电力/热力/燃气/水利,未融资,100-499人,['数据标注'],节日福利，员工旅游，交通补助，定期体检，五险一金，带薪年假，年终奖
169,技术经理,/job_detail/3c4da20a9b15a8f71nd73dS7FlJY.html,广州·越秀区·火车站,15-30K,3-5年,大专,威都物流,/gongsi/79ad4e842daf8a6c1HZ43Nm6.html,企业服务,未融资,100-499人,"['分布式技术', '微服务架构', 'Spring', 'SpringBoot', 'Redis', 'MySQL', 'SQL Server', '后端开发']",定期体检，补充医疗保险，节日福利，带薪年假，五险一金，零食下午茶，年终奖，员工旅游
170,数据治理工程师（ETL）广州,/job_detail/b7a7dc54423d4cd51XZ42dW4EVVU.html,广州·天河区·珠江新城,12-23K,3-5年,本科,医旭云,/gongsi/42bf446370581fc71nd-09W_FlI~.html,医疗健康,未融资,20-99人,"['Java', 'Python', 'hit']",午餐，项目奖金，年终奖，定期体检，全额公积金，零食下午茶，全额社保，带薪年假，节日福利
171,.NET开发工程师,/job_detail/9467333fb85eb5831nZ-3dq1ElFX.html,广州·白云区·机场路,8-13K,1-3年,本科,广东骆驼服饰有限公司,/gongsi/c308078341fa27180Hd82t-0.html,电子商务,不需要融资,1000-9999人,['.NET Core'],餐补，免费班车，加班补助，节日福利，五险，全勤奖，带薪年假，绩效奖金
172,高级数据分析师,/job_detail/83ff4b6ebe796f0e1nZ-0t64EVdX.html,广州·黄埔区·科学城,10-15K,1-3年,本科,方舟医药,/gongsi/899dee7a2052e6bc1nVz0960ElQ~.html,移动互联网,B轮,1000-9999人,"['数据分析', '数据挖掘', '商业分析', 'ETL']",带薪年假，节日福利，五险一金
173,初级生信工程师,/job_detail/a45d9629c40ab08e1XVy09W1FFZY.html,广州·黄埔区·科学城,8-13K,1-3年,本科,奥测医检所,/gongsi/faf33c58be9b00e71XR42d-1E1Y~.html,医疗/护理/卫生,A轮,20-99人,"['医学相关专业', 'Python', 'Linux', '生物信息']",节日福利，年终奖，免费班车，全勤奖，定期体检，员工旅游，带薪年假，加班补助，餐补，五险一金，零食下午茶
174,BI数据分析,/job_detail/0495af66b593ea4a1XZ53tm8FVJS.html,广州·番禺区·南村,10-15K,1-3年,大专,君琳,/gongsi/602c195d711552781ndy3ti6ElQ~.html,服装/纺织/皮革,,100-499人,"['Python', 'SQL', 'SAS', 'Excel']",零食下午茶，员工旅游，全勤奖，带薪年假，加班补助
175,Data analytics 实习生,/job_detail/5e35ed3f642534d81XVz3dW-FVBV.html,广州·白云区·石井,150-200元/天,3天/周3个月,本科,腾度健康,/gongsi/c5cce98eb2c456681nd839y_EVY~.html,电子商务,未融资,20-99人,"['Python', 'Pandas']",年终奖，加班补助，带薪年假，员工旅游，全勤奖，节日福利，零食下午茶，五险一金
176,物业市场经理,/job_detail/d1d8d79bf9e343ff1XV72tq7GFFR.html,广州·海珠区·琶洲,15-25K·16薪,3-5年,大专,卓越物业,/gongsi/7415d7062203ce680n1_29m4.html,企业服务,已上市,10000人以上,"['办公地产', '产业地产', '综合体', '商业地产', '市场拓展']",晋升空间，年终奖，高温补贴，提供住宿，股票期权，五险一金，员工旅游，零食下午茶，定期体检，过节费，带薪年假，节日福利
177,高级软件工程师,/job_detail/67fbe0f1fd8a580c1XR83tW8ElBS.html,广州·天河区·珠江新城,12-24K,3-5年,大专,广州广爱,/gongsi/2a37518a1bad1c301nZ-3di8F1Q~.html,4S店/后市场,未融资,500-999人,"['网络爬虫技术', '分布式技术', '消息队列', 'WCF', 'selenium', '负载均衡技术', '高级软件工程师', 'Visual Studio']",带薪年假，餐补，节日福利，年终奖，五险一金，通讯补贴，补充医疗保险，交通补助，定期体检
178,高级数据分析师（中山）,/job_detail/ed5bc407fb7f6faa1XZ-2du1F1pV.html,广州·海珠区·官洲,15-20K,3-5年,硕士,太力科技集团,/gongsi/7b0b2db041be60331nN50t-7GFo~.html,电子商务,,1000-9999人,"['Python', 'Excel']",宿舍有空调，餐补，股票期权，员工旅游，绩效奖金，生日福利，包住，底薪加提成，年终奖，通讯补贴
179,数据分析员（跨境电商）,/job_detail/a762a1cddefd491b1nZ52ty8FltS.html,广州,6-10K,经验不限,大专,曼伯特,/gongsi/bc03435540be009e03d40t25.html,电子商务,未融资,100-499人,"['Python', 'Excel', 'SPSS', '跨境电商', '数据分析', '亚马逊', '产品开发']",全勤奖，员工旅游，五险一金，股票期权，加班补助，零食下午茶，年终奖，节日福利，带薪年假，交通补助，餐补，免费班车
180,数据挖掘,/job_detail/00c3233c87a66aa61XZ439y0EVpQ.html,广州·增城区·凯旋门,6-11K,3-5年学历,不限,欧文,/gongsi/ae9507c8cfc8d3723nJ73dq1GA~~.html,互联网,未融资,0-20人,"['Python', '参数检验', 'SQL']",
181,Python开发助理工程师,/job_detail/ea329a3a89f3275c1nN_3Ny6FFNR.html,广州·黄埔区·科学城,5-6K,经验不限,本科,红贝科技,/gongsi/b9687be1f601e3a00XJ-09S1.html,计算机软件,不需要融资,20-99人,"['网络爬虫技术', 'Flask', 'Scrapy', 'Linux', 'Windows', 'MySQL', 'Redis', 'MongoDB']",协助办理落户，补充医疗保险，年终奖，五险一金，节日福利，带薪年假，协助申请公租，股票期权，定期体检
182,独立站运营,/job_detail/7b8cc87617ffd38a1XV929y9FlBX.html,广州·白云区·同和,6-10K,1-3年,大专,图美科技发展有限公司,/gongsi/0e3cb2d65f07063c1n1509i4F1U~.html,批发/零售,,20-99人,"['独立站运营', '谷歌', '百度']",全勤奖，定期体检，零食下午茶，年终奖，节日福利，带薪年假，五险一金，年度调薪，员工旅游
183,Web开发工程师,/job_detail/388ccbd506453f041nZy2dW-EFVV.html,广州·番禺区·市桥,10-15K,3-5年,大专,福禄寿喜科技,/gongsi/72629787955452611nd73Nu_F1E~.html,计算机软件,天使轮,20-99人,"['前端开发', '全栈开发', 'JavaScript', 'HTML5', 'Vue', '小程序', '流媒体技术', '移动端']",项目奖金，五险一金，员工旅游，节日福利，带薪年假，股票期权，年终奖，加班补助，零食下午茶，全勤奖，一年两次调薪
184,JAVA工程师,/job_detail/b7fa925f42cdf7d103B70tW_F1s~.html,广州·天河区·龙洞,7-9K,1-3年,大专,向榕科技,/gongsi/0d504d009faef44903J909y1EA~~.html,电子商务,天使轮,20-99人,"['Java', '后端开发', '数据库']",节日福利，五险一金
185,高级数据工程师 (MJ001709),/job_detail/2abcd545dcf1d6c81XZ53d66F1FU.html,广州·黄埔区·科学城,15-25K·13薪,3-5年,本科,万孚生物,/gongsi/3c375950cfcfb2643nNz2dm-.html,医疗健康,已上市,1000-9999人,"['Java', 'Python', 'Spark', 'Hadoop', 'Flink']",股票期权，节日福利，年终奖，定期体检，员工旅游，免费班车，包住，带薪年假，餐补，五险一金
