,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
66,爬虫工程师,/job_detail/0361d7df2b08f0bb0HB53969E1c~.html,广州·天河区·车陂,18-22K·13薪,3-5年,大专,搜游科技,/gongsi/82b8038374bbb07b0HZ909q_GQ~~.html,游戏,不需要融资,20-99人,"['Python', 'JavaScript', 'C++', 'C#']",交通补助，通讯补贴，包吃，带薪年假，住房补贴，餐补，全勤奖，加班补助，年终奖，员工旅游，五险一金，零食下午茶
67,Python爬虫工程师,/job_detail/013da921598010b71nx_2tu8GFJZ.html,广州·天河区·小新塘,11-18K,3-5年,大专,云润大数据,/gongsi/1b831d5716e000940XN92ti5EQ~~.html,计算机软件,未融资,100-499人,"['网络爬虫技术', '分布式技术', 'MySQL', 'Redis']",节日福利，五险一金，带薪年假，全勤奖
68,资深Python爬虫工程师,/job_detail/64df80a0229073b61HZz2tm9F1o~.html,广州·海珠区·琶洲,25-50K,3-5年,本科,Fordeal,/gongsi/5a5c0072d3fd43211nZ43d2_.html,电子商务,C轮,1000-9999人,['Python'],周末双休，扁平化管理，上下班不打卡，试用期全额，打车报销，年终奖，六险一金，午晚餐补贴，年度体检，带薪病假
69,python爬虫,/job_detail/f2f828f6e17d121333x92Nu1FlI~.html,广州·天河区·天河公园,3-4K,在校/应届,本科,稷生科技,/gongsi/318236b39a0447a403V629W6Ew~~.html,计算机服务,不需要融资,20-99人,"['爬虫工程师', 'Python', '数据采集']",带薪年假，定期体检，加班补助，五险一金，年终奖
70,急聘网络爬虫工程师,/job_detail/9a9cf10937931d801XR42Nq6E1ZQ.html,广州·白云区·机场路,15-20K,3-5年学历,不限,问问科技,/gongsi/851c21d81e5dc75a1nV90928GVI~.html,生活服务,天使轮,20-99人,"['网络爬虫技术', '分布式技术', '数据分析']",加班餐补，股票期权，带薪年假，零食下午茶，五险一金，节日福利，员工旅游
71,爬虫/数据实习生,/job_detail/12ff8cfc3880d80b03J73du_FVE~.html,广州·天河区·冼村,100-150元/天,4天/周3个月,本科,静瞳海外投资,/gongsi/ead988e94bf828081XJ43NS5GA~~.html,其他专业服务,未融资,20-99人,"['Python', '数据清洗', '数据处理']",
72,爬虫工程师,/job_detail/978e80dce788103a1XV53ty7ElVX.html,广州·天河区·五山,10-15K,1-3年,大专,中建普联,/gongsi/0787f8b36fb5fa751HR-09q6.html,互联网,不需要融资,100-499人,"['Java', '网络爬虫技术', '多线程', 'Linux', 'Redis', '分布式技术', '消息队列', 'Scrapy']",员工旅游，股票期权，项目奖，五险一金，零食下午茶，节日福利，带薪年假
73,爬虫工程师,/job_detail/60a1611f0eb5504a1nZz29m4FVBR.html,广州,12-20K,1-3年,大专,字里行间,/gongsi/4be9f89926027a1f1nB83du-F1o~.html,移动互联网,天使轮,0-20人,"['网络爬虫技术', '数据结构', '多线程', '多进程', 'Linux', '计算机软件', 'GIT', 'MongoDB']",零食下午茶，年终奖，节日福利，五险一金，带薪年假，餐补
74,爬虫工程师,/job_detail/c1a296dbafb2f8251nx72tq4GVVQ.html,广州·海珠区·赤岗,10-15K·13薪,1-3年,本科,值得抢,/gongsi/699ab736a1b215141nB50ti9EFY~.html,生活服务,不需要融资,0-20人,"['Python', 'Shell']",五险一金，定期体检，节日福利，带薪年假，员工旅游，零食下午茶
75,爬虫工程师,/job_detail/a0bac3578b70d9571nV609i0ElVR.html,广州·增城区·凯旋门,6-7K,1-3年,大专,小嘟供车,/gongsi/de2fff84423675f51nR73N-1Ew~~.html,互联网,未融资,100-499人,"['爬虫工程师', '网络爬虫技术']",五险一金
