,date,week,red,blue,sales,poolmoney,content,prizegrades1num,prizegrades1money,prizegrades2num,prizegrades2money,prizegrades3num,prizegrades3money,prizegrades4num,prizegrades4money,prizegrades5num,prizegrades5money,prizegrades6num,prizegrades6money
2013027,2013-03-10(日),日,"01,02,04,12,21,24",12,401897672,136259354,"内蒙古1注,黑龙江1注,上海1注,重庆1注,湖北1注,广西1注,四川1注,贵州1注,云南1注,甘肃1注,青海1注,共11注。",11,6848640,126,242083,1437,3000,69563,200,1271301,10,12863605,5
2013028,2013-03-12(二),二,"07,08,14,25,26,28",13,363477764,144919914,"辽宁2注,福建1注,江西1注,山东1注,贵州1注,共6注。",6,7577370,149,155680,1961,3000,98956,200,1725586,10,11570584,5
2013029,2013-03-14(四),四,"06,07,10,19,23,29",12,367189222,133260864,"山西2注,内蒙古1注,广东5注,海南2注,四川1注,陕西1注,共12注。",12,6611365,473,61320,1710,3000,110261,200,1948423,10,7314877,5
2013030,2013-03-17(日),日,"07,14,18,25,26,29",06,405193314,146756785,"天津1注,内蒙古1注,吉林1注,山东1注,湖北1注,四川1注,云南1注,共7注。",7,7771195,140,207839,1797,3000,80229,200,1430574,10,13162068,5
2013031,2013-03-19(二),二,"03,13,14,15,21,33",03,365951410,135583170,"内蒙古1注,浙江2注,安徽1注,湖北2注,广东1注,四川1注,云南1注,青海1注,共10注。",10,6553055,125,186366,2364,3000,91992,200,1487883,10,12258836,5
2013032,2013-03-21(四),四,"04,21,25,29,30,33",03,365616360,185170708,"天津1注,江苏1注,共2注。",2,10000000,68,438576,1043,3000,55516,200,1043488,10,11014833,5
2013033,2013-03-24(日),日,"05,06,13,17,19,28",01,397248028,34224132,"北京1注,辽宁1注,江苏2注,浙江1注,山东3注,河南1注,广东21注,广西11注,四川1注,贵州1注,宁夏1注,共44注。",44,5355031,567,41326,3539,3000,154469,200,2272792,10,10461193,5
2013034,2013-03-26(二),二,"06,15,20,22,26,33",09,339315898,47229360,"江苏4注,福建2注,河南2注,共8注。",8,5000000,83,273693,1218,3000,61286,200,1157283,10,12611799,5
2013035,2013-03-28(四),四,"01,14,15,17,26,30",02,351498872,105954843,"浙江1注,湖北1注,广西1注,共3注。",3,5000000,78,405085,911,3000,49842,200,1000154,10,8841877,5
2013036,2013-03-31(日),日,"04,05,09,27,29,31",13,393497514,118017567,"北京1注,辽宁1注,江苏2注,安徽1注,广东2注,贵州1注,新疆1注,共9注。",9,7536121,182,188118,1506,3000,80421,200,1585260,10,8446705,5
2013037,2013-04-02(二),二,"02,15,18,27,28,32",14,350336028,122337450,"河北1注,黑龙江1注,浙江1注,福建1注,山东1注,河南1注,共6注。",6,7287992,157,131158,2363,3000,113898,200,1850951,10,10929355,5
2013038,2013-04-04(四),四,"09,10,12,14,15,19",11,328400842,140504290,"河北1注,吉林1注,上海1注,浙江1注,河南1注,共5注。",5,8453347,95,272632,1118,3000,51887,200,1051034,10,10068198,5
2013039,2013-04-07(日),日,"01,02,14,15,24,29",06,390740078,158541908,"河北1注,辽宁1注,江苏1注,浙江1注,安徽1注,重庆1注,陕西1注,共7注。",7,8030721,94,338538,1117,3000,56759,200,1093692,10,11949535,5
2013040,2013-04-09(二),二,"02,04,10,12,17,30",10,352650578,135009567,"山西1注,辽宁2注,江苏1注,安徽1注,重庆1注,湖南2注,广东2注,广西1注,共11注。",11,6144278,125,151044,1878,3000,86862,200,1493165,10,14385082,5
2013041,2013-04-11(四),四,"02,10,12,17,23,24",05,358260706,165669831,"江苏1注,广西1注,新疆1注,共3注。",3,10000000,295,88126,1112,3000,64469,200,1179623,10,12172839,5
2013042,2013-04-14(日),日,"01,08,12,13,15,33",03,396763590,191650228,"北京1注,江苏1注,福建1注,湖南1注,广东1注,四川2注,共7注。",7,8484594,131,279299,973,3000,54934,200,1142444,10,9424624,5
2013043,2013-04-16(二),二,"03,06,14,15,17,25",16,358568922,130914304,"北京1注,内蒙古1注,吉林1注,黑龙江2注,江苏1注,安徽2注,福建1注,山东1注,重庆1注,湖北1注,四川3注,陕西1注,共16注。",16,5481602,247,46795,3092,3000,133198,200,2120374,10,16010254,5
2013044,2013-04-18(四),四,"03,05,11,18,26,28",06,355471956,113248452,"内蒙古1注,黑龙江2注,上海1注,重庆1注,湖北3注,湖南1注,海南1注,四川1注,陕西1注,共12注。",12,6411138,337,75372,2143,3000,109323,200,1878419,10,8487034,5
2013045,2013-04-21(日),日,"06,07,08,14,23,31",12,389847482,123007759,"辽宁2注,山东1注,广西1注,云南1注,陕西1注,深圳1注,共7注。",7,7557675,138,194605,1692,3000,87002,200,1553736,10,12698576,5
2013046,2013-04-23(二),二,"03,16,19,20,24,26",06,352094234,143084851,"山西1注,辽宁1注,上海1注,浙江2注,江西1注,广东1注,共7注。",7,8147262,95,347855,1026,3000,52058,200,1114872,10,7546732,5
2013047,2013-04-25(四),四,"01,08,11,17,27,30",12,347274348,167906106,"山东1注,河南1注,广东2注,陕西1注,甘肃1注,共6注。",6,8654750,116,283558,1074,3000,58083,200,1191022,10,6754618,5
2013048,2013-04-28(日),日,"10,13,17,28,30,32",04,379712106,55171877,"天津1注,河南34注,湖北1注,四川1注,共37注。",37,5456927,119,213104,1411,3000,76513,200,1488958,10,13420432,5
2013049,2013-04-30(二),二,"10,13,14,16,21,32",14,295889902,114803190,"山东1注,云南1注,共2注。",2,5000000,41,727853,548,3000,32359,200,715078,10,6049233,5
2013050,2013-05-02(四),四,"03,07,13,18,22,25",03,331969178,116018802,"内蒙古1注,上海1注,浙江1注,山东1注,湖北1注,湖南2注,广东1注,四川1注,共9注。",9,7054027,228,121620,1244,3000,68648,200,1269744,10,8014925,5
2013051,2013-05-05(日),日,"08,12,15,19,28,29",02,377856082,30000000,"天津1注,内蒙古1注,上海1注,江苏4注,安徽1注,福建1注,山东2注,湖北1注,广东1注,海南1注,贵州1注,云南15注,陕西1注,青海1注,深圳1注,共33注。",33,5479124,450,61706,2151,3000,118908,200,2130642,10,8209600,5
2013052,2013-05-07(二),二,"06,07,14,21,22,24",13,320719928,48367032,"北京2注,辽宁1注,黑龙江1注,广东1注,广西1注,陕西1注,甘肃1注,共8注。",8,5000000,104,240523,1164,3000,59758,200,1096383,10,9472772,5
2013053,2013-05-09(四),四,"03,12,13,22,30,33",14,327360018,89705790,"江苏1注,福建2注,湖北1注,甘肃1注,共5注。",5,5000000,132,215385,1324,3000,64790,200,1151837,10,7437676,5
2013054,2013-05-12(日),日,"03,04,08,14,21,28",14,367209526,101137064,"北京1注,山西1注,安徽1注,山东3注,重庆2注,广东1注,四川1注,云南3注,新疆1注,共14注。",14,5000000,202,172767,1400,3000,65720,200,1291880,10,6667892,5
2013055,2013-05-14(二),二,"08,18,19,22,27,32",06,328924474,116004306,"山西1注,广西5注,共6注。",6,7991149,97,277529,1191,3000,59313,200,1126970,10,8946641,5
2013056,2013-05-16(四),四,"03,12,25,26,28,29",16,330573576,138712270,"内蒙古1注,福建1注,江西1注,湖南1注,广西1注,共5注。",5,8816637,88,325281,1125,3000,59941,200,1208527,10,7823330,5
2013057,2013-05-19(日),日,"13,16,19,23,26,28",05,367207180,152624208,"北京1注,天津1注,辽宁1注,重庆1注,河南1注,四川1注,共6注。",6,7927462,146,180460,1613,3000,67995,200,1260565,10,12212798,5
2013058,2013-05-21(二),二,"08,11,17,21,23,24",05,338075776,138757060,"北京10注,辽宁1注,浙江1注,江西1注,共13注。",13,6573318,243,126253,1130,3000,66539,200,1319685,10,6699351,5
2013059,2013-05-23(四),四,"03,10,18,24,27,29",09,339381758,99230450,"上海2注,江苏1注,浙江1注,山东2注,河南1注,湖北1注,四川1注,云南1注,深圳1注,共11注。",11,5562668,134,69283,2713,3000,113557,200,1734003,10,17431969,5
2013060,2013-05-26(日),日,"05,07,10,13,19,20",15,368726696,110329152,"北京1注,江苏1注,浙江2注,安徽1注,江西1注,山东1注,青海1注,共8注。",8,5000000,206,106307,2025,3000,107207,200,1838178,10,12355951,5
2013061,2013-05-28(二),二,"05,06,07,12,13,18",12,335064726,30000000,"北京1注,河北3注,吉林5注,上海2注,江苏5注,浙江1注,安徽2注,福建1注,江西5注,山东2注,重庆1注,河南2注,湖南2注,广东1注,四川4注,云南2注,甘肃1注,宁夏1注,深圳2注,共43注。",43,3509802,830,20959,3297,3000,124581,200,1720750,10,10835575,5
2013062,2013-05-30(四),四,"01,06,07,19,22,27",02,313979568,83172610,"山西1注,湖北1注,共2注。",2,5000000,102,265431,1134,3000,51648,200,991170,10,7992020,5
2013063,2013-06-02(日),日,"10,15,18,20,23,31",12,354390256,142799949,"江苏1注,江西1注,山东1注,共3注。",3,5000000,84,380751,872,3000,47992,200,1020860,10,8923548,5
2013064,2013-06-04(二),二,"01,09,13,22,25,32",12,328102052,172812165,"北京1注,广东2注,广西1注,海南1注,共5注。",5,9400977,72,458435,964,3000,43634,200,929158,10,5967038,5
2013065,2013-06-06(四),四,"07,18,19,23,29,30",02,334460176,201675690,"辽宁1注,山东3注,陕西1注,共5注。",5,9309082,165,195867,1054,3000,56070,200,1129552,10,6097382,5
2013066,2013-06-09(日),日,"01,03,16,17,20,32",07,368087166,182192048,"北京1注,山西1注,内蒙古1注,黑龙江1注,浙江1注,广东2注,广西1注,共8注。",8,6025818,96,128227,1512,3000,83874,200,1498384,10,20607068,5
2013067,2013-06-11(二),二,"01,04,09,15,22,30",06,309743864,137776720,"北京1注,山西1注,上海1注,浙江6注,江西1注,山东1注,重庆1注,河南1注,湖南1注,云南2注,共16注。",16,5889617,163,130986,1711,3000,68974,200,1168530,10,9998405,5
2013068,2013-06-13(四),四,"02,07,13,20,25,27",06,329872238,135584520,"安徽1注,广东5注,新疆1注,深圳3注,共10注。",10,6912312,203,141303,1234,3000,66176,200,1239999,10,7336919,5
2013069,2013-06-16(日),日,"07,16,17,18,30,33",06,369339396,30000000,"天津1注,河北1注,山东1注,湖北100注,广东1注,四川1注,共105注。",105,2083167,190,187552,1147,3000,58665,200,1142808,10,7118223,5
2013070,2013-06-18(二),二,"02,03,09,10,28,30",06,296577242,58271360,"北京1注,吉林1注,上海1注,福建1注,江西3注,山东1注,湖南3注,广东1注,陕西1注,共13注。",13,5000000,152,178396,1085,3000,60263,200,1178132,10,5569252,5
2013071,2013-06-20(四),四,"05,12,21,23,26,28",09,311914552,31637441,"河北5注,辽宁1注,上海1注,广东1注,陕西1注,深圳2注,共11注。",11,5000000,173,70271,2821,3000,119306,200,1769363,10,12459464,5
2013072,2013-06-23(日),日,"02,08,11,14,19,33",09,351392580,83394408,"河北1注,广东1注,共2注。",2,5000000,144,183800,1302,3000,80365,200,1599034,10,9597757,5
2013073,2013-06-25(二),二,"02,09,13,17,20,28",11,324559238,31466432,"北京1注,山西4注,辽宁1注,浙江1注,山东2注,重庆1注,湖北1注,广东2注,四川2注,陕西1注,深圳3注,共19注。",19,5000000,185,99780,2014,3000,91067,200,1507636,10,11634158,5
2013074,2013-06-27(四),四,"03,06,08,14,19,32",03,320654782,76109739,"黑龙江1注,江西1注,广西1注,共3注。",3,5000000,101,253083,1352,3000,65055,200,1246689,10,8476445,5
2013075,2013-06-30(日),日,"04,06,09,25,30,33",14,358276246,148151453,共0注。,0,0,47,656915,1029,3000,58145,200,1242958,10,9098609,5
2013076,2013-07-02(二),二,"14,23,24,26,29,30",03,326689120,213429920,"辽宁1注,共1注。",1,10000000,43,750283,568,3000,39214,200,923533,10,6750974,5
2013077,2013-07-04(四),四,"09,14,23,24,26,29",03,333114166,90631848,"北京1注,天津1注,河北1注,山西2注,内蒙古2注,吉林2注,黑龙江1注,江苏1注,浙江1注,安徽1注,福建1注,江西2注,山东2注,重庆1注,河南1注,湖北1注,广东2注,广西2注,海南1注,云南1注,陕西1注,新疆3注,共31注。",31,5415508,186,103877,11740,3000,71510,200,1079027,10,7701962,5
2013078,2013-07-07(日),日,"03,05,17,18,26,27",15,355637236,125198288,"北京1注,辽宁1注,浙江1注,福建1注,江西1注,山东1注,广西1注,四川1注,共8注。",8,5000000,223,143305,1481,3000,75201,200,1477667,10,6695776,5
2013079,2013-07-09(二),二,"07,13,17,19,22,26",13,320512624,108592428,"内蒙古1注,吉林1注,黑龙江1注,浙江2注,江西1注,山东2注,湖北1注,广东1注,贵州1注,新疆1注,共12注。",12,6446471,102,255259,1192,3000,67130,200,1265622,10,8120933,5
2013080,2013-07-11(四),四,"10,11,12,23,28,32",16,327918824,126651295,"辽宁1注,浙江1注,江西1注,河南2注,共5注。",5,8444709,103,250828,1512,3000,73261,200,1305619,10,8463619,5
2013081,2013-07-14(日),日,"01,04,10,13,21,31",13,359745012,164579200,"江苏1注,浙江1注,湖北1注,广东1注,共4注。",4,10000000,122,273751,1116,3000,62494,200,1295456,10,7229622,5
2013082,2013-07-16(二),二,"04,13,14,20,22,30",06,326611872,177229420,"北京1注,内蒙古1注,江西2注,广西1注,共5注。",5,8012017,178,126910,1704,3000,83829,200,1484654,10,9603007,5
2013083,2013-07-18(四),四,"05,06,12,14,19,23",09,338036388,101908566,"山西1注,辽宁1注,上海2注,浙江1注,江西2注,重庆1注,河南1注,湖北1注,湖南1注,贵州1注,云南1注,陕西2注,新疆2注,深圳1注,共18注。",18,5326203,225,39144,4408,3000,159499,200,2109179,10,14012784,5
2013084,2013-07-21(日),日,"05,07,09,11,20,21",03,373588034,101313260,"北京2注,河北1注,黑龙江1注,江苏1注,山东1注,重庆1注,广东1注,陕西2注,共10注。",10,6976187,136,217961,1861,3000,88845,200,1586008,10,9007333,5
2013085,2013-07-23(二),二,"02,08,12,14,16,32",16,330145456,119563094,"山西1注,内蒙古1注,湖南1注,广东1注,青海1注,深圳2注,共7注。",7,8042847,135,236665,935,3000,53773,200,1122477,10,6097445,5
2013086,2013-07-25(四),四,"02,04,11,13,16,26",11,326453274,147621963,"浙江1注,福建1注,江西1注,共3注。",3,10000000,80,311029,1098,3000,54996,200,1090702,10,10364128,5
2013087,2013-07-28(日),日,"02,13,19,23,24,28",05,364306204,159824838,"上海1注,江西1注,湖南1注,广西1注,云南1注,甘肃1注,共6注。",6,7813525,121,209270,1602,3000,80264,200,1405965,10,11837166,5
2013088,2013-07-30(二),二,"09,15,20,21,22,24",14,332225112,203431818,"辽宁1注,安徽1注,山东1注,共3注。",3,10000000,119,265091,830,3000,51312,200,1073094,10,6830826,5
2013089,2013-08-01(四),四,"04,08,12,19,21,25",13,337088774,173879650,"河北2注,江苏2注,浙江1注,福建2注,山东1注,重庆1注,湖南1注,四川3注,陕西1注,共14注。",14,6155652,210,115565,2273,3000,88036,200,1503399,10,8963528,5
2013090,2013-08-04(日),日,"02,05,11,23,24,29",08,372773264,30000000,"北京1注,天津1注,江苏26注,浙江1注,江西5注,山东1注,重庆1注,河南1注,湖南3注,广东1注,广西1注,西藏1注,陕西1注,青海1注,深圳1注,共46注。",46,3882974,154,13183,4037,3000,149248,200,2151206,10,22483763,5
2013091,2013-08-06(二),二,"04,14,24,25,28,31",10,308670790,30000000,"江苏1注,广东1注,贵州19注,青海1注,共22注。",22,3362188,61,308909,1316,3000,63680,200,1110064,10,12130481,5
2013092,2013-08-08(四),四,"07,11,15,21,26,31",06,311052518,39250888,"辽宁1注,黑龙江1注,湖北2注,广东1注,贵州1注,陕西2注,共8注。",8,5000000,103,204927,1368,3000,66733,200,1158839,10,10603666,5
2013093,2013-08-11(日),日,"01,02,08,26,29,31",14,345826922,113583018,"江西1注,山东1注,共2注。",2,5000000,111,325606,719,3000,39473,200,893517,10,5998790,5
2013094,2013-08-13(二),二,"02,04,14,18,20,22",07,320217972,85662203,"河北1注,辽宁1注,上海1注,江苏1注,浙江1注,河南1注,广东2注,贵州1注,云南1注,甘肃1注,共11注。",11,5984697,113,143783,1354,3000,64875,200,1190550,10,14761186,5
2013095,2013-08-15(四),四,"01,06,15,19,28,29",10,321839422,122220820,"内蒙古1注,安徽1注,重庆1注,湖南1注,四川1注,共5注。",5,5000000,144,183210,1352,3000,67207,200,1283571,10,7885465,5
2013096,2013-08-18(日),日,"01,02,22,28,29,30",15,364530978,133568694,"河北2注,浙江1注,山东1注,重庆1注,广东2注,云南1注,深圳1注,共9注。",9,7504350,112,301863,943,3000,49363,200,971581,10,8701402,5
2013097,2013-08-20(二),二,"05,14,17,22,23,25",07,326153582,165973926,"山西1注,湖北1注,广东1注,共3注。",3,10000000,152,175954,1159,3000,63714,200,1204032,10,8480960,5
2013098,2013-08-22(四),四,"07,15,18,19,20,26",14,333979300,61447820,"河北2注,黑龙江2注,江苏1注,安徽2注,福建3注,江西1注,山东2注,重庆1注,河南2注,湖南2注,广西5注,云南2注,陕西1注,宁夏1注,新疆1注,共28注。",28,5506770,291,73142,3950,3000,123020,200,1748414,10,7752782,5
2013099,2013-08-25(日),日,"05,11,20,21,26,31",03,359490506,57365841,"河北1注,黑龙江1注,浙江1注,安徽1注,山东2注,广西2注,贵州1注,深圳4注,共13注。",13,5000000,173,150911,1689,3000,75709,200,1289550,10,11204059,5
2013100,2013-08-27(二),二,"04,08,11,14,16,20",11,324850520,110063013,共0注。,0,0,61,370237,1244,3000,65430,200,1243865,10,10927686,5
2014001,2014-01-02(四),四,"03,09,15,20,27,29",01,371341368,136130274,"山西1注,黑龙江1注,新疆1注,共3注。",3,5000000,139,251264,1152,3000,66979,200,1406407,10,6924462,5
2014002,2014-01-05(日),日,"04,21,23,31,32,33",04,408021124,157176954,"内蒙古1注,黑龙江1注,江苏1注,安徽1注,江西1注,广东1注,共6注。",6,8403112,105,291695,1643,3000,81424,200,1432818,10,12459002,5
2014003,2014-01-07(二),二,"06,10,11,28,30,33",12,363993362,169237320,"内蒙古1注,江苏2注,福建1注,四川1注,贵州1注,共6注。",6,7804024,147,171674,1778,3000,85239,200,1536591,10,11297659,5
2014004,2014-01-09(四),四,"01,04,19,22,24,25",15,373155800,201488460,"北京1注,安徽1注,山东2注,广东1注,共5注。",5,9580091,113,303988,1035,3000,56508,200,1166507,10,8454477,5
2014005,2014-01-12(日),日,"15,18,23,27,32,33",04,414088906,237244320,"江苏1注,河南1注,湖南1注,广东1注,甘肃1注,深圳1注,共6注。",6,9383724,77,512383,973,3000,53350,200,1202881,10,9154805,5
2014006,2014-01-14(二),二,"03,04,07,17,21,27",14,369941458,30000000,"山西1注,浙江3注,江西48注,河南1注,湖北1注,湖南1注,广东10注,广西3注,陕西1注,深圳1注,共70注。",70,4194362,296,81603,2666,3000,125714,200,1960586,10,9601772,5
2014007,2014-01-16(四),四,"08,10,12,14,18,28",14,346606050,58697890,"上海1注,浙江1注,安徽1注,江西1注,重庆1注,广东2注,广西5注,云南1注,共13注。",13,5000000,198,137874,1854,3000,84164,200,1515233,10,8258568,5
2014008,2014-01-19(日),日,"05,14,16,21,29,30",12,392135484,99040432,"内蒙古1注,江苏1注,安徽3注,山东1注,河南1注,广东1注,共8注。",8,5000000,189,182182,1292,3000,71607,200,1463057,10,8908670,5
2014009,2014-01-21(二),二,"08,09,19,20,25,32",16,348408848,127264176,"天津1注,辽宁1注,浙江1注,福建1注,湖北1注,陕西1注,共6注。",6,5000000,229,108965,2012,3000,93717,200,1637420,10,9277991,5
2014010,2014-01-23(四),四,"05,07,08,20,31,33",11,359922428,168977284,"山东1注,云南1注,共2注。",2,10000000,207,127770,1232,3000,64752,200,1253686,10,11803429,5
